id,id_dresseur,date,montant,type,objet
227,43,2023-08-05,-111,Debit,
228,43,2022-08-21,361,Versement,
229,43,2020-10-30,-415,Debit,
230,43,2020-03-01,-22,Debit,
231,43,2020-11-05,481,Versement,
232,43,2020-06-02,-25,Debit,
233,43,2024-02-05,-424,Debit,
234,43,2024-07-01,40,Versement,
235,44,2022-06-15,336,Versement,
236,44,2023-07-20,-253,Debit,
237,44,2023-06-15,301,Versement,
238,44,2020-06-28,-494,Debit,
239,44,2020-04-23,142,Versement,
240,44,2021-03-23,153,Versement,
241,44,2023-02-25,-202,Debit,
242,44,2024-02-25,445,Versement,
243,44,2022-06-04,-107,Debit,
244,45,2022-10-04,494,Versement,
245,45,2021-05-18,115,Versement,
246,46,2024-08-26,476,Versement,
247,46,2021-08-25,-240,Debit,
248,47,2020-12-18,366,Versement,
249,47,2021-07-27,102,Versement,
250,47,2023-09-07,-210,Debit,
251,47,2022-08-20,213,Versement,
252,47,2020-08-29,1,Versement,
253,47,2020-12-24,251,Versement,
254,47,2022-09-13,-14,Debit,
255,47,2021-08-23,278,Versement,
256,47,2023-12-03,-270,Debit,
257,48,2023-06-22,19,Versement,
258,48,2024-01-19,-379,Debit,
259,48,2021-12-27,-368,Debit,
260,48,2024-02-22,-237,Debit,
261,48,2021-11-23,-5,Debit,
262,48,2021-10-08,-21,Debit,
263,49,2022-03-27,454,Versement,
264,49,2023-03-08,-488,Debit,
265,49,2020-05-14,391,Versement,
266,49,2023-05-12,105,Versement,
267,49,2022-07-28,106,Versement,
268,49,2021-09-12,462,Versement,
269,49,2023-01-14,-43,Debit,
270,49,2024-01-09,121,Versement,
271,50,2023-05-01,491,Versement,
272,50,2020-10-07,-495,Debit,
273,50,2024-07-18,343,Versement,
274,50,2021-05-17,321,Versement,
275,50,2023-09-08,-102,Debit,
