pokedex_id,nom,pv,attaque,defense,attaque_speciale,defense_speciale,vitesse,taille,poids
48,Mimitoss,60,55,50,40,55,45,1.0,30.0
49,Aeromite,70,65,60,90,75,90,1.5,12.5
50,Taupiqueur,10,55,25,35,45,95,0.2,0.8
51,Triopikeur,35,100,50,50,70,120,0.7,33.3
52,Miaouss,40,45,35,40,40,90,0.4,4.2
53,Persian,65,70,60,65,65,115,1.0,32.0
54,Psykokwak,50,52,48,65,50,55,0.8,19.6
55,Akwakwak,80,82,78,95,80,85,1.7,76.6
56,Ferosinge,40,80,35,35,45,70,0.5,28.0
57,Colossinge,65,105,60,60,70,95,1.0,32.0
58,Caninos,55,70,45,70,50,60,0.7,19.0
59,Arcanin,90,110,80,100,80,95,1.9,155.0
60,Ptitard,40,50,40,40,40,90,0.6,12.4
61,Tetarte,65,65,65,50,50,90,1.0,20.0
62,Tartard,90,95,95,70,90,70,1.3,54.0
63,Abra,25,20,15,105,55,90,0.9,19.5
64,Kadabra,40,35,30,120,70,105,1.3,56.5
65,Alakazam,55,50,45,135,95,120,1.5,48.0
66,Machoc,70,80,50,35,35,35,0.8,19.5
67,Machopeur,80,100,70,50,60,45,1.5,70.5
68,Mackogneur,90,130,80,65,85,55,1.6,130.0
69,Chetiflor,50,75,35,70,30,40,0.7,4.0
70,Boustiflor,65,90,50,85,45,55,1.0,6.4
71,Empiflor,80,105,65,100,70,70,1.7,15.5
72,Tentacool,40,40,35,50,100,70,0.9,45.5
73,Tentacruel,80,70,65,80,120,100,1.6,55.0
74,Racaillou,40,80,100,30,30,20,0.4,20.0
75,Gravalanch,55,95,115,45,45,35,1.0,105.0
76,Grolem,80,120,130,55,65,45,1.4,300.0
77,Ponyta,50,85,55,65,65,90,1.0,30.0
78,Galopa,65,100,70,80,80,105,1.7,95.0
79,Ramoloss,90,65,65,40,40,15,1.2,36.0
80,Flagadoss,95,75,110,100,80,30,1.6,78.5
81,Magneti,25,35,70,95,55,45,0.3,6.0
82,Magneton,50,60,95,120,70,70,1.0,60.0
83,Canarticho,52,90,55,58,62,60,0.8,15.0
84,Doduo,35,85,45,35,35,75,1.4,39.2
85,Dodrio,60,110,70,60,60,110,1.8,85.2
86,Otaria,65,45,55,45,70,45,1.1,90.0
87,Lamantine,90,70,80,70,95,70,1.7,120.0
88,Tadmorv,80,80,50,40,50,25,0.9,30.0
89,Grotadmorv,105,105,75,65,100,50,1.2,30.0
90,Kokiyas,30,65,100,45,25,40,0.3,4.0
91,Crustabri,50,95,180,85,45,70,1.5,132.5
92,Fantominus,30,35,30,100,35,80,1.3,0.1
93,Spectrum,45,50,45,115,55,95,1.6,0.1
94,Ectoplasma,60,65,60,130,75,110,1.5,40.5
95,Onix,35,45,160,30,45,70,8.8,210.0
96,Soporifik,60,48,45,43,90,42,1.0,32.4
97,Hypnomade,85,73,70,73,115,67,1.6,75.6
98,Krabby,30,105,90,25,25,50,0.4,6.5
99,Krabboss,55,130,115,50,50,75,1.3,60.0
100,Voltorbe,40,30,50,55,55,100,0.5,10.4
101,electrode,60,50,70,80,80,150,1.2,66.6
102,Noeunoeuf,60,40,80,60,45,40,0.4,2.5
103,Noadkoko,95,95,85,125,75,55,2.0,120.0
104,Osselait,50,50,95,40,50,35,0.4,6.5
105,Ossatueur,60,80,110,50,80,45,1.0,45.0
106,Kicklee,50,120,53,35,110,87,1.5,49.8
107,Tygnon,50,105,79,35,110,76,1.4,50.2
108,Excelangue,90,55,75,60,75,30,1.2,65.5
109,Smogo,40,65,95,60,45,35,0.6,1.0
110,Smogogo,65,90,120,85,70,60,1.2,9.5
111,Rhinocorne,80,85,95,30,30,25,1.0,115.0
112,Rhinoferos,105,130,120,45,45,40,1.9,120.0
113,Leveinard,250,5,5,35,105,50,1.1,34.6
114,Saquedeneu,65,55,115,100,40,60,1.0,35.0
115,Kangourex,105,95,80,40,80,90,2.2,80.0
116,Hypotrempe,30,40,70,70,25,60,0.4,8.0
117,Hypocean,55,65,95,95,45,85,1.2,25.0
118,Poissirene,45,67,60,35,50,63,0.6,15.0
119,Poissoroy,80,92,65,65,80,68,1.3,39.0
120,Stari,30,45,55,70,55,85,0.8,34.5
121,Staross,60,75,85,100,85,115,1.1,80.0
122,M. Mime,40,45,65,100,120,90,1.3,54.5
123,Insecateur,70,110,80,55,80,105,1.5,56.0
124,Lippoutou,65,50,35,115,95,95,1.4,40.6
125,elektek,65,83,57,95,85,105,1.1,30.0
126,Magmar,65,95,57,100,85,93,1.3,44.5
127,Scarabrute,65,125,100,55,70,85,1.5,55.0
128,Tauros,75,100,95,40,70,110,1.4,88.4
129,Magicarpe,20,10,55,15,20,80,0.9,10.0
130,Leviator,95,125,79,60,100,81,6.5,235.0
131,Lokhlass,130,85,80,85,95,60,2.5,220.0
132,Metamorph,48,48,48,48,48,48,0.3,4.0
133,evoli,65,75,70,65,85,75,0.3,6.5
134,Aquali,130,65,60,110,95,65,1.0,29.0
135,Voltali,65,65,60,110,95,130,0.8,24.5
136,Pyroli,65,130,60,95,110,65,0.9,25.0
137,Porygon,65,60,70,85,75,40,0.8,36.5
138,Amonita,35,40,100,90,55,35,0.4,7.5
139,Amonistar,70,60,125,115,70,55,1.0,35.0
140,Kabuto,30,80,90,55,45,55,0.5,11.5
141,Kabutops,60,115,105,65,70,80,1.3,40.5
142,Ptera,80,105,65,60,75,130,1.8,59.0
143,Ronflex,160,110,65,65,110,30,2.1,460.0
144,Artikodin,90,85,100,95,125,85,1.7,55.4
145,electhor,90,90,85,125,90,100,1.6,52.6
146,Sulfura,90,100,90,125,85,90,2.0,60.0
147,Minidraco,41,64,45,50,50,50,1.8,3.3
148,Draco,61,84,65,70,70,70,4.0,16.5
149,Dracolosse,91,134,95,100,100,80,2.2,210.0
150,Mewtwo,106,110,90,154,90,130,2.0,122.0
151,Mew,100,100,100,100,100,100,0.4,4.0
152,Germignon,45,49,65,49,65,45,0.9,6.4
153,Macronium,60,62,80,63,80,60,1.2,15.8
154,Meganium,80,82,100,83,100,80,1.8,100.5
155,Hericendre,39,52,43,60,50,65,0.5,7.9
156,Feurisson,58,64,58,80,65,80,0.9,19.0
157,Typhlosion,78,84,78,109,85,100,1.7,79.5
158,Kaiminus,50,65,64,44,48,43,0.6,9.5
159,Crocrodil,65,80,80,59,63,58,1.1,25.0
160,Aligatueur,85,105,100,79,83,78,2.3,88.8
161,Fouinette,35,46,34,35,45,20,0.8,6.0
162,Fouinar,85,76,64,45,55,90,1.8,32.5
163,Hoothoot,60,30,30,36,56,50,0.7,21.2
164,Noarfang,100,50,50,86,96,70,1.6,40.8
165,Coxy,40,20,30,40,80,55,1.0,10.8
166,Coxyclaque,55,35,50,55,110,85,1.4,35.6
167,Mimigal,40,60,40,40,40,30,0.5,8.5
168,Migalos,70,90,70,60,70,40,1.1,33.5
169,Nostenfer,85,90,80,70,80,130,1.8,75.0
170,Loupio,75,38,38,56,56,67,0.5,12.0
171,Lanturn,125,58,58,76,76,67,1.2,22.5
172,Pichu,20,40,15,35,35,60,0.3,2.0
173,Melo,50,25,28,45,55,15,0.3,3.0
174,Toudoudou,90,30,15,40,20,15,0.3,1.0
175,Togepi,35,20,65,40,65,20,0.3,1.5
176,Togetic,55,40,85,80,105,40,0.6,3.2
177,Natu,40,50,45,70,45,70,0.2,2.0
178,Xatu,65,75,70,95,70,95,1.5,15.0
179,Wattouat,55,40,40,65,45,35,0.6,7.8
180,Lainergie,70,55,55,80,60,45,0.8,13.3
181,Pharamp,90,75,85,115,90,55,1.4,61.5
182,Joliflor,75,80,95,90,100,50,0.4,5.8
183,Marill,70,20,50,20,50,40,0.4,8.5
184,Azumarill,100,50,80,60,80,50,0.8,28.5
185,Simularbre,70,100,115,30,65,30,1.2,38.0
186,Tarpaud,90,75,75,90,100,70,1.1,33.9
187,Granivol,35,35,40,35,55,50,0.4,0.5
188,Floravol,55,45,50,45,65,80,0.6,1.0
189,Cotovol,75,55,70,55,95,110,0.8,3.0
190,Capumain,55,70,55,40,55,85,0.8,11.5
191,Tournegrin,30,30,30,30,30,30,0.3,1.8
192,Heliatronc,75,75,55,105,85,30,0.8,8.5
193,Yanma,65,65,45,75,45,95,1.2,38.0
194,Axoloto,55,45,45,25,25,15,0.4,8.5
195,Maraiste,95,85,85,65,65,35,1.4,75.0
196,Mentali,65,65,60,130,95,110,0.9,26.5
197,Noctali,95,65,110,60,130,65,1.0,27.0
198,Cornebre,60,85,42,85,42,91,0.5,2.1
199,Roigada,95,75,80,100,110,30,2.0,79.5
200,Feuforeve,60,60,60,85,85,85,0.7,1.0
201,Zarbi,48,72,48,72,48,48,0.5,5.0
202,Qulbutoke,190,33,58,33,58,33,1.3,28.5
203,Girafarig,70,80,65,90,65,85,1.5,41.5
204,Pomdepik,50,65,90,35,35,15,0.6,7.2
205,Foretress,75,90,140,60,60,40,1.2,125.8
206,Insolourdo,100,70,70,65,65,45,1.5,14.0
207,Scorplane,65,75,105,35,65,85,1.1,64.8
208,Steelix,75,85,200,55,65,30,9.2,400.0
209,Snubbull,60,80,50,40,40,30,0.6,7.8
210,Granbull,90,120,75,60,60,45,1.4,48.7
211,Qwilfish,65,95,85,55,55,85,0.5,3.9
212,Cizayox,70,130,100,55,80,65,1.8,118.0
213,Caratroc,20,10,230,10,230,5,0.6,20.5
214,Scarhino,80,125,75,40,95,85,1.5,54.0
215,Farfuret,55,95,55,35,75,115,0.9,28.0
216,Teddiursa,60,80,50,50,50,40,0.6,8.8
217,Ursaring,90,130,75,75,75,55,1.8,125.8
218,Limagma,40,40,40,70,40,20,0.7,35.0
219,Volcaropod,60,50,120,90,80,30,0.8,55.0
220,Marcacrin,50,50,40,30,30,50,0.4,6.5
221,Cochignon,100,100,80,60,60,50,1.1,55.8
222,Corayon,65,55,95,65,95,35,0.6,5.0
223,Remoraid,35,65,35,65,35,65,0.6,12.0
224,Octillery,75,105,75,105,75,45,0.9,28.5
225,Cadoizo,45,55,45,65,45,75,0.9,16.0
226,Demanta,85,40,70,80,140,70,2.1,220.0
227,Airmure,65,80,140,40,70,70,1.7,50.5
228,Malosse,45,60,30,80,50,65,0.6,10.8
229,Demolosse,75,90,50,110,80,95,1.4,35.0
230,Hyporoi,75,95,95,95,95,85,1.8,152.0
231,Phanpy,90,60,60,40,40,40,0.5,33.5
232,Donphan,90,120,120,60,60,50,1.1,120.0
233,Porygon2,85,80,90,105,95,60,0.6,32.5
234,Cerfrousse,73,95,62,85,65,85,1.4,71.2
235,Queulorior,55,20,35,20,45,75,1.2,58.0
236,Debugant,35,35,35,35,35,35,0.7,21.0
237,Kapoera,50,95,95,35,110,70,1.4,48.0
238,Lippouti,45,30,15,85,65,65,0.6,6.0
239,elekid,45,63,37,65,55,95,0.6,23.5
240,Magby,45,75,37,70,55,83,0.7,21.4
241,ecremeuh,95,80,105,40,70,100,1.2,75.5
242,Leuphorie,255,10,10,75,135,55,1.5,46.8
243,Raikou,90,85,75,115,100,115,1.9,178.0
244,Entei,115,115,85,90,75,100,2.1,198.0
245,Suicune,100,75,115,90,115,85,2.0,187.0
246,Embrylex,50,64,50,45,50,41,0.6,72.0
247,Ymphect,70,84,70,65,70,51,1.2,152.0
248,Tyranocif,100,134,110,95,100,61,2.0,202.0
249,Lugia,106,90,130,90,154,110,5.2,216.0
250,Ho-Oh,106,130,90,110,154,90,3.8,199.0
251,Celebi,100,100,100,100,100,100,0.6,5.0
252,Arcko,40,45,35,65,55,70,0.5,5.0
253,Massko,50,65,45,85,65,95,0.9,21.6
254,Jungko,70,85,65,105,85,120,1.7,52.2
255,Poussifeu,45,60,40,70,50,45,0.4,2.5
256,Galifeu,60,85,60,85,60,55,0.9,19.5
257,Brasegali,80,120,70,110,70,80,1.9,52.0
258,Gobou,50,70,50,50,50,40,0.4,7.6
259,Flobio,70,85,70,60,70,50,0.7,28.0
260,Laggron,100,110,90,85,90,60,1.6,81.9
261,Medhyena,35,55,35,30,30,35,0.5,13.6
262,Grahyena,70,90,70,60,60,70,1.0,37.0
263,Zigzaton,38,30,41,30,41,60,0.4,17.5
264,Lineon,78,70,61,50,61,100,0.5,32.5
265,Chenipotte,45,45,35,20,30,20,0.3,3.6
266,Armulys,50,35,55,25,25,15,0.6,10.0
267,Charmillon,60,70,50,100,50,65,1.0,28.4
268,Blindalys,50,35,55,25,25,15,0.7,11.5
269,Papinox,60,50,70,50,90,65,1.2,31.6
270,Nenupiot,40,30,30,40,50,30,0.5,2.6
271,Lombre,60,50,50,60,70,50,1.2,32.5
272,Ludicolo,80,70,70,90,100,70,1.5,55.0
273,Grainipiot,40,40,50,30,30,30,0.5,4.0
274,Pifeuil,70,70,40,60,40,60,1.0,28.0
275,Tengalice,90,100,60,90,60,80,1.3,59.6
276,Nirondelle,40,55,30,30,30,85,0.3,2.3
277,Heledelle,60,85,60,75,50,125,0.7,19.8
278,Goelise,40,30,30,55,30,85,0.6,9.5
279,Bekipan,60,50,100,95,70,65,1.2,28.0
280,Tarsal,28,25,25,45,35,40,0.4,6.6
281,Kirlia,38,35,35,65,55,50,0.8,20.2
282,Gardevoir,68,65,65,125,115,80,1.6,48.4
283,Arakdo,40,30,32,50,50,65,0.5,1.7
284,Maskadra,70,60,62,100,82,80,0.8,3.6
285,Balignon,60,40,60,40,60,35,0.4,4.5
286,Chapignon,60,130,80,60,60,70,1.2,39.2
287,Parecool,60,60,60,35,35,30,0.8,24.0
288,Vigoroth,80,80,80,55,55,90,1.4,46.5
289,Monaflemit,150,160,100,95,65,100,2.0,130.5
290,Ningale,31,45,90,30,30,40,0.5,5.5
291,Ninjask,61,90,45,50,50,160,0.8,12.0
292,Munja,1,90,45,30,30,40,0.8,1.2
293,Chuchmur,64,51,23,51,23,28,0.6,16.3
294,Ramboum,84,71,43,71,43,48,1.0,40.5
295,Brouhabam,104,91,63,91,73,68,1.5,84.0
296,Makuhita,72,60,30,20,30,25,1.0,86.4
297,Hariyama,144,120,60,40,60,50,2.3,253.8
298,Azurill,50,20,40,20,40,20,0.2,2.0
299,Tarinor,30,45,135,45,90,30,1.0,97.0
300,Skitty,50,45,45,35,35,50,0.6,11.0
301,Delcatty,70,65,65,55,55,90,1.1,32.6
302,Tenefix,50,75,75,65,65,50,0.5,11.0
303,Mysdibule,50,85,85,55,55,50,0.6,11.5
304,Galekid,50,70,100,40,40,30,0.4,60.0
305,Galegon,60,90,140,50,50,40,0.9,120.0
306,Galeking,70,110,180,60,60,50,2.1,360.0
307,Meditikka,30,40,55,40,55,60,0.6,11.2
308,Charmina,60,60,75,60,75,80,1.3,31.5
309,Dynavolt,40,45,40,65,40,65,0.6,15.2
310,elecsprint,70,75,60,105,60,105,1.5,40.2
311,Posipi,60,50,40,85,75,95,0.4,4.2
312,Negapi,60,40,50,75,85,95,0.4,4.2
313,Muciole,65,73,75,47,85,85,0.7,17.7
314,Lumivole,65,47,75,73,85,85,0.6,17.7
315,Roselia,50,60,45,100,80,65,0.3,2.0
316,Gloupti,70,43,53,43,53,40,0.4,10.3
317,Avaltout,100,73,83,73,83,55,1.7,80.0
318,Carvanha,45,90,20,65,20,65,0.8,20.8
319,Sharpedo,70,120,40,95,40,95,1.8,88.8
320,Wailmer,130,70,35,70,35,60,2.0,130.0
321,Wailord,170,90,45,90,45,60,14.5,398.0
322,Chamallot,60,60,40,65,45,35,0.7,24.0
323,Camerupt,70,100,70,105,75,40,1.9,220.0
324,Chartor,70,85,140,85,70,20,0.5,80.4
325,Spoink,60,25,35,70,80,60,0.7,30.6
326,Groret,80,45,65,90,110,80,0.9,71.5
327,Spinda,60,60,60,60,60,60,1.1,5.0
328,Kraknoix,45,100,45,45,45,10,0.7,15.0
329,Vibraninf,50,70,50,50,50,70,1.1,15.3
330,Libegon,80,100,80,80,80,100,2.0,82.0
331,Cacnea,50,85,40,85,40,35,0.4,51.3
332,Cacturne,70,115,60,115,60,55,1.3,77.4
333,Tylton,45,40,60,40,75,50,0.4,1.2
334,Altaria,75,70,90,70,105,80,1.1,20.6
335,Mangriff,73,115,60,60,60,90,1.3,40.3
336,Seviper,73,100,60,100,60,65,2.7,52.5
337,Seleroc,90,55,65,95,85,70,1.0,168.0
338,Solaroc,90,95,85,55,65,70,1.2,154.0
339,Barloche,50,48,43,46,41,60,0.4,1.9
340,Barbicha,110,78,73,76,71,60,0.9,23.6
341,ecrapince,43,80,65,50,35,35,0.6,11.5
342,Colhomard,63,120,85,90,55,55,1.1,32.8
343,Balbuto,40,40,55,40,70,55,0.5,21.5
344,Kaorine,60,70,105,70,120,75,1.5,108.0
345,Lilia,66,41,77,61,87,23,1.0,23.8
346,Vacilys,86,81,97,81,107,43,1.5,60.4
347,Anorith,45,95,50,40,50,75,0.7,12.5
348,Armaldo,75,125,100,70,80,45,1.5,68.2
349,Barpau,20,15,20,10,55,80,0.6,7.4
350,Milobellus,95,60,79,100,125,81,6.2,162.0
351,Morpheo,70,70,70,70,70,70,0.3,0.8
352,Kecleon,60,90,70,60,120,40,1.0,22.0
353,Polichombr,44,75,35,63,33,45,0.6,2.3
354,Branette,64,115,65,83,63,65,1.1,12.5
355,Skelenox,20,40,90,30,90,25,0.8,15.0
356,Teraclope,40,70,130,60,130,25,1.6,30.6
357,Tropius,99,68,83,72,87,51,2.0,100.0
358,eoko,75,50,80,95,90,65,0.6,1.0
359,Absol,65,130,60,75,60,75,1.2,47.0
360,Okeoke,95,23,48,23,48,23,0.6,14.0
361,Stalgamin,50,50,50,50,50,50,0.7,16.8
362,Oniglali,80,80,80,80,80,80,1.5,256.5
363,Obalie,70,40,50,55,50,25,0.8,39.5
364,Phogleur,90,60,70,75,70,45,1.1,87.6
365,Kaimorse,110,80,90,95,90,65,1.4,150.6
366,Coquiperl,35,64,85,74,55,32,0.4,52.5
367,Serpang,55,104,105,94,75,52,1.7,27.0
368,Rosabyss,55,84,105,114,75,52,1.8,22.6
369,Relicanth,100,90,130,45,65,55,1.0,23.4
370,Lovdisc,43,30,55,40,65,97,0.6,8.7
371,Draby,45,75,60,40,30,50,0.6,42.1
372,Drackhaus,65,95,100,60,50,50,1.1,110.5
373,Drattak,95,135,80,110,80,100,1.5,102.6
374,Terhal,40,55,80,35,60,30,0.6,95.2
375,Metang,60,75,100,55,80,50,1.2,202.5
376,Metalosse,80,135,130,95,90,70,1.6,550.0
377,Regirock,80,100,200,50,100,50,1.7,230.0
378,Regice,80,50,100,100,200,50,1.8,175.0
379,Registeel,80,75,150,75,150,50,1.9,205.0
380,Latias,80,80,90,110,130,110,1.4,40.0
381,Latios,80,90,80,130,110,110,2.0,60.0
382,Kyogre,100,100,90,150,140,90,4.5,352.0
383,Groudon,100,150,140,100,90,90,3.5,950.0
384,Rayquaza,105,150,90,150,90,95,7.0,206.5
385,Jirachi,100,100,100,100,100,100,0.3,1.1
386,Deoxys,50,95,90,95,90,180,1.7,60.8
387,Tortipouss,55,68,64,45,55,31,0.4,10.2
388,Boskara,75,89,85,55,65,36,1.1,97.0
389,Torterra,95,109,105,75,85,56,2.2,310.0
390,Ouisticram,44,58,44,58,44,61,0.5,6.2
391,Chimpenfeu,64,78,52,78,52,81,0.9,22.0
392,Simiabraz,76,104,71,104,71,108,1.2,55.0
393,Tiplouf,53,51,53,61,56,40,0.4,5.2
394,Prinplouf,64,66,68,81,76,50,0.8,23.0
395,Pingoleon,84,86,88,111,101,60,1.7,84.5
396,etourmi,40,55,30,30,30,60,0.3,2.0
397,etourvol,55,75,50,40,40,80,0.6,15.5
398,etouraptor,85,120,70,50,60,100,1.2,24.9
399,Keunotor,59,45,40,35,40,31,0.5,20.0
400,Castorno,79,85,60,55,60,71,1.0,31.5
401,Crikzik,37,25,41,25,41,25,0.3,2.2
402,Melokrik,77,85,51,55,51,65,1.0,25.5
403,Lixy,45,65,34,40,34,45,0.5,9.5
404,Luxio,60,85,49,60,49,60,0.9,30.5
405,Luxray,80,120,79,95,79,70,1.4,42.0
406,Rozbouton,40,30,35,50,70,55,0.2,1.2
407,Roserade,60,70,65,125,105,90,0.9,14.5
408,Kranidos,67,125,40,30,30,58,0.9,31.5
409,Charkos,97,165,60,65,50,58,1.6,102.5
410,Dinoclier,30,42,118,42,88,30,0.5,57.0
411,Bastiodon,60,52,168,47,138,30,1.3,149.5
412,Cheniti,40,29,45,29,45,36,0.2,3.4
413,Cheniselle,60,59,85,79,105,36,0.5,6.5
414,Papilord,70,94,50,94,50,66,0.9,23.3
415,Apitrini,30,30,42,30,42,70,0.3,5.5
416,Apireine,70,80,102,80,102,40,1.2,38.5
417,Pachirisu,60,45,70,45,90,95,0.4,3.9
418,Mustebouee,55,65,35,60,30,85,0.7,29.5
419,Musteflott,85,105,55,85,50,115,1.1,33.5
420,Ceribou,45,35,45,62,53,35,0.4,3.3
421,Ceriflor,70,60,70,87,78,85,0.5,9.3
422,Sancoki,76,48,48,57,62,34,0.3,6.3
423,Tritosor,111,83,68,92,82,39,0.9,29.9
424,Capidextre,75,100,66,60,66,115,1.2,20.3
425,Baudrive,90,50,34,60,44,70,0.4,1.2
426,Grodrive,150,80,44,90,54,80,1.2,15.0
427,Laporeille,55,66,44,44,56,85,0.4,5.5
428,Lockpin,65,76,84,54,96,105,1.2,33.3
429,Magireve,60,60,60,105,105,105,0.9,4.4
430,Corboss,100,125,52,105,52,71,0.9,27.3
431,Chaglam,49,55,42,42,37,85,0.5,3.9
432,Chaffreux,71,82,64,64,59,112,1.0,43.8
433,Korillon,45,30,50,65,50,45,0.2,0.6
434,Moufouette,63,63,47,41,41,74,0.4,19.2
435,Moufflair,103,93,67,71,61,84,1.0,38.0
436,Archeomire,57,24,86,24,86,23,0.5,60.5
437,Archeodong,67,89,116,79,116,33,1.3,187.0
438,Manzai,50,80,95,10,45,10,0.5,15.0
439,Mime Jr.,20,25,45,70,90,60,0.6,13.0
440,Ptiravi,100,5,5,15,65,30,0.6,24.4
441,Pijako,76,65,45,92,42,91,0.5,1.9
442,Spiritomb,50,92,108,92,108,35,1.0,108.0
443,Griknot,58,70,45,40,45,42,0.7,20.5
444,Carmache,68,90,65,50,55,82,1.4,56.0
445,Carchacrok,108,130,95,80,85,102,1.9,95.0
446,Goinfrex,135,85,40,40,85,5,0.6,105.0
447,Riolu,40,70,40,35,40,60,0.7,20.2
448,Lucario,70,110,70,115,70,90,1.2,54.0
449,Hippopotas,68,72,78,38,42,32,0.8,49.5
450,Hippodocus,108,112,118,68,72,47,2.0,300.0
451,Rapion,40,50,90,30,55,65,0.8,12.0
452,Drascore,70,90,110,60,75,95,1.3,61.5
453,Cradopaud,48,61,40,61,40,50,0.7,23.0
454,Coatox,83,106,65,86,65,85,1.3,44.4
455,Vortente,74,100,72,90,72,46,1.4,27.0
456,ecayon,49,49,56,49,61,66,0.4,7.0
457,Lumineon,69,69,76,69,86,91,1.2,24.0
458,Babimanta,45,20,50,60,120,50,1.0,65.0
459,Blizzi,60,62,50,60,62,40,1.0,50.5
460,Blizzaroi,90,92,75,92,85,60,2.2,135.5
461,Dimoret,70,120,65,45,85,125,1.1,34.0
462,Magnezone,70,70,115,130,90,60,1.2,180.0
463,Coudlangue,110,85,95,80,95,50,1.7,140.0
464,Rhinastoc,115,140,130,55,55,40,2.4,282.8
465,Bouldeneu,100,100,125,110,50,50,2.0,128.6
466,elekable,75,123,67,95,85,95,1.8,138.6
467,Maganon,75,95,67,125,95,83,1.6,68.0
468,Togekiss,85,50,95,120,115,80,1.5,38.0
469,Yanmega,86,76,86,116,56,95,1.9,51.5
470,Phyllali,65,110,130,60,65,95,1.0,25.5
471,Givrali,65,60,110,130,95,65,0.8,25.9
472,Scorvol,75,95,125,45,75,95,2.0,42.5
473,Mammochon,110,130,80,70,60,80,2.5,291.0
474,Porygon-Z,85,80,70,135,75,90,0.9,34.0
475,Gallame,68,125,65,65,115,80,1.6,52.0
476,Tarinorme,60,55,145,75,150,40,1.4,340.0
477,Noctunoir,45,100,135,65,135,45,2.2,106.6
478,Momartik,70,80,70,80,70,110,1.3,26.6
479,Motisma,50,50,77,95,77,91,0.3,0.3
480,Crehelf,75,75,130,75,130,95,0.3,0.3
481,Crefollet,80,105,105,105,105,80,0.3,0.3
482,Crefadet,75,125,70,125,70,115,0.3,0.3
483,Dialga,100,120,120,150,100,90,5.4,683.0
484,Palkia,90,120,100,150,120,100,4.2,336.0
485,Heatran,91,90,106,130,106,77,1.7,430.0
486,Regigigas,110,160,110,80,110,100,3.7,420.0
487,Giratina,150,100,120,100,120,90,4.5,750.0
488,Cresselia,120,70,120,75,130,85,1.5,85.6
489,Phione,80,80,80,80,80,80,0.4,3.1
490,Manaphy,100,100,100,100,100,100,0.3,1.4
491,Darkrai,70,90,90,135,90,125,1.5,50.5
492,Shaymin,100,100,100,100,100,100,0.2,2.1
493,Arceus,120,120,120,120,120,120,3.2,320.0
494,Victini,100,100,100,100,100,100,0.4,4.0
495,Vipelierre,45,45,55,45,55,63,0.6,8.1
496,Lianaja,60,60,75,60,75,83,0.8,16.0
497,Majaspic,75,75,95,75,95,113,3.3,63.0
498,Gruikui,65,63,45,45,45,45,0.5,9.9
