id,id_pokemon,id_dresseur,surnom,niveau,date_stockage
62,956,1,Nolan,91,2024-02-11
63,1004,1,Carlee,65,2024-02-15
64,1015,1,Camille,18,2024-08-24
65,657,1,Emmett,91,2024-09-01
66,334,1,Immanuel,85,2024-08-24
67,268,1,Arch,68,2024-08-03
68,731,1,Kayli,49,2024-03-26
69,243,1,Kraig,87,2024-07-19
70,501,1,Lonny,99,2024-05-19
71,966,1,Jamison,18,2023-12-06
72,738,1,Kathlyn,75,2023-09-15
73,195,1,Garry,17,2023-10-21
74,682,1,Wava,79,2023-09-19
75,412,1,Jaylan,34,2024-02-03
76,771,1,Alfreda,62,2024-06-25
77,31,1,Caleigh,56,2024-06-26
78,204,1,Elias,68,2024-03-12
79,141,1,Jayda,73,2024-08-07
80,125,1,Gage,94,2024-01-16
81,525,1,Jarrett,33,2024-08-03
82,21,1,Sophie,14,2024-03-02
83,496,1,Adrain,28,2023-11-10
84,90,1,Antonio,74,2024-02-21
85,774,1,Garfield,24,2024-06-18
86,39,1,Boyd,65,2024-01-07
87,224,1,Tiffany,9,2024-08-13
88,546,1,Eriberto,63,2024-02-13
89,130,1,Jolie,90,2024-09-03
90,715,1,Jesus,18,2024-09-12
91,292,1,Jess,28,2024-06-15
92,680,1,Domenic,69,2024-05-23
93,242,1,Andre,3,2024-04-23
94,935,1,Bernardo,68,2024-05-03
95,602,1,Maryjane,20,2023-10-21
96,284,1,Maryse,2,2023-10-17
97,809,1,Salvatore,10,2024-08-11
98,986,1,Cedrick,53,2023-11-20
99,1011,1,Lilliana,85,2023-10-05
100,634,1,Tia,29,2024-03-18
101,173,1,Guy,79,2024-04-01
102,755,1,Randal,45,2024-02-22
103,302,1,Precious,82,2024-01-01
104,1005,1,Howell,93,2024-08-19
105,891,1,Colin,96,2023-09-17
106,958,1,Delaney,21,2024-08-24
107,169,1,Soledad,12,2024-05-09
108,910,1,Cornell,13,2024-05-19
109,996,1,Curtis,43,2024-04-29
110,242,1,Adan,63,2024-02-15
111,643,1,Noemie,42,2023-11-19
112,976,1,Chaya,79,2024-06-30
113,476,1,Daisy,17,2023-11-06
114,925,1,Cheyanne,41,2024-04-29
115,348,1,Ollie,37,2024-08-21
116,157,1,Magdalena,8,2024-02-29
117,968,1,Lorenz,1,2023-10-16
118,907,1,Ulices,36,2023-10-01
119,143,1,Jazmyne,98,2024-04-17
120,817,1,Montana,57,2024-02-08
121,65,1,Evan,4,2024-01-02
122,366,1,Margaret,6,2024-05-04
123,1022,1,Christiana,17,2024-01-13
124,563,1,Penelope,16,2024-01-04
125,186,1,Guillermo,13,2024-07-27
126,515,1,Karolann,44,2023-10-04
127,1012,1,Janice,78,2024-06-18
128,244,1,Eliseo,75,2024-04-18
129,309,1,Toney,42,2024-02-21
130,737,1,Rowland,56,2024-04-25
131,605,1,Rudolph,76,2024-02-03
132,396,1,Hattie,4,2024-06-23
133,36,1,Elisha,15,2023-09-17
134,468,1,Karianne,5,2023-10-30
135,779,1,Itzel,16,2023-12-28
136,698,1,Lois,40,2024-03-17
137,959,1,Eliane,35,2024-06-16
138,231,1,Geovanny,90,2024-02-06
139,23,1,Else,100,2024-09-03
140,415,1,Waylon,56,2024-08-19
141,602,1,Ed,49,2023-10-09
142,50,1,Cathrine,7,2024-08-13
143,763,1,Christop,12,2024-01-28
144,186,1,Gussie,18,2024-02-10
145,386,1,Alaina,20,2024-03-27
146,875,1,Loy,35,2024-08-26
147,499,1,Clinton,70,2023-12-10
148,714,1,Sadye,30,2024-08-12
149,808,1,Kathryne,14,2024-08-11
150,756,1,April,23,2024-03-05
151,886,1,Trisha,22,2024-05-07
152,751,1,Katlynn,34,2024-05-01
153,940,1,Jose,51,2024-02-27
154,255,1,Kendrick,76,2024-02-06
155,269,1,Jacey,81,2023-11-15
156,645,1,Deanna,3,2024-08-18
157,634,1,Theron,68,2024-08-18
158,576,1,Emile,42,2024-02-03
159,685,1,Khalil,16,2024-05-21
160,128,1,Ford,84,2023-11-02
161,268,1,Celestine,77,2024-03-05
162,890,1,Tanya,48,2024-05-18
163,661,1,Tony,74,2023-11-19
164,136,1,Josianne,88,2024-09-07
165,442,1,Kassandra,36,2024-07-17
166,778,1,Carol,72,2023-12-28
167,925,1,Madilyn,93,2024-06-23
168,949,1,Peyton,80,2024-09-11
169,285,1,Kristopher,29,2024-03-01
170,468,1,Meggie,99,2024-08-13
171,851,1,D\'angelo,88,2024-04-27
172,530,1,Isabel,64,2024-08-15
173,122,1,Amani,26,2024-04-27
174,726,1,Sylvia,80,2024-08-10
175,377,1,Emery,43,2024-07-21
176,393,1,Micah,18,2023-09-22
177,1005,1,Eric,98,2024-09-07
178,828,1,Bethel,6,2024-03-13
179,493,1,Hillary,96,2023-10-19
180,599,1,Lessie,70,2024-03-05
181,215,1,Marilou,77,2024-04-02
182,482,1,Andre,33,2023-09-25
183,327,1,Adolf,20,2024-03-28
184,159,1,Edmund,90,2024-03-17
185,663,1,Torrey,38,2024-06-09
186,478,1,Modesto,8,2023-12-22
187,1019,1,Corine,75,2024-07-09
188,799,1,Obie,95,2024-08-11
189,235,1,Helene,14,2024-08-10
190,584,1,Hoyt,70,2024-04-26
191,214,1,Kelly,51,2024-03-15
192,713,1,Clarabelle,70,2024-08-09
193,185,1,Bret,92,2024-01-15
194,968,1,Luna,58,2023-10-17
195,342,1,Keyon,3,2023-10-23
196,499,1,Douglas,64,2023-11-18
197,83,1,Caesar,92,2024-08-15
198,843,1,Heaven,34,2023-12-25
199,648,1,Mckenzie,22,2024-03-03
200,601,1,Nia,21,2024-07-31
201,538,1,Zion,14,2023-10-22
202,618,1,Maximus,77,2024-04-19
203,238,1,Trace,47,2024-02-08
204,201,1,Cielo,55,2023-11-01
205,201,1,Angelica,66,2024-06-12
206,634,1,Arch,10,2024-05-04
207,597,1,Jeffrey,35,2024-02-14
208,173,1,Raquel,86,2024-03-02
209,994,1,Durward,27,2024-04-11
210,340,1,Ayla,51,2024-06-24
211,583,1,Johnathon,35,2024-04-09
212,187,1,Gaston,12,2024-02-03
213,383,1,Maryam,23,2024-04-03
214,475,1,Evan,41,2024-07-03
215,444,1,Carolina,36,2024-09-14
216,184,1,Murl,16,2024-05-08
217,317,1,Stephan,4,2024-08-22
218,659,1,Gennaro,58,2024-02-10
219,579,1,Lorenza,40,2023-09-30
220,1016,1,Nora,92,2024-03-13
221,914,1,Elvera,46,2024-03-18
222,173,1,Mitchel,52,2023-11-15
223,337,1,Juston,80,2024-08-05
224,695,1,Nikolas,59,2024-07-12
225,320,1,Jon,51,2024-02-04
226,249,1,Moises,37,2024-03-15
227,597,1,Jannie,31,2024-01-26
228,696,1,Lila,91,2024-01-03
229,958,1,Leann,99,2024-04-16
230,360,1,Jameson,33,2024-01-29
231,579,1,Raegan,25,2023-10-24
232,949,1,Tyreek,44,2024-08-01
233,559,1,Oswald,6,2023-11-23
234,162,1,Jameson,71,2024-09-02
235,514,1,Vaughn,23,2024-07-01
236,431,1,Alexa,14,2023-09-18
237,909,1,Dina,64,2023-12-12
238,477,1,Erika,34,2024-07-31
239,670,1,Orland,29,2024-02-13
240,231,1,Lottie,77,2023-12-27
241,579,1,Demarcus,3,2024-05-16
242,137,1,Alejandrin,16,2024-09-08
243,475,1,Howard,38,2024-04-07
244,293,1,Vernie,26,2023-11-07
245,793,1,Charity,61,2023-09-22
246,215,1,Eugene,80,2024-07-02
247,61,1,Leila,19,2023-10-30
248,45,1,Murl,91,2024-01-21
249,154,1,Skyla,19,2024-09-04
250,246,1,Kennedi,98,2024-03-15
251,580,1,Julius,47,2024-04-24
252,155,1,Evalyn,16,2024-03-31
253,106,1,Lindsey,75,2024-06-22
254,489,1,Ahmad,86,2024-05-15
255,24,1,Lambert,92,2024-06-14
256,770,1,Breana,89,2023-11-01
257,679,1,Deron,57,2024-02-16
258,482,1,Ezequiel,7,2023-10-29
259,585,1,Camron,76,2024-06-26
260,328,1,Valentine,12,2024-04-05
261,582,1,Warren,77,2024-07-09
262,731,1,Jodie,19,2023-10-16
263,390,1,Devyn,66,2023-10-24
264,14,1,Bryon,27,2024-05-15
265,198,1,Kaden,87,2024-08-30
266,199,1,Brooke,21,2024-02-24
267,102,1,Kirsten,7,2023-12-19
268,614,1,Easter,41,2024-03-09
269,782,1,Beverly,95,2023-10-21
270,998,1,Calista,6,2024-08-26
271,185,1,Pietro,30,2024-08-22
272,817,1,Ilene,21,2024-07-25
273,230,1,Marjolaine,57,2024-03-02
274,166,1,Shea,27,2024-08-12
275,808,1,Rasheed,63,2023-10-20
276,267,1,Cloyd,35,2023-10-14
277,608,1,Augustus,11,2024-01-02
278,438,1,Marcelo,73,2024-06-23
279,524,1,Rosalia,73,2023-12-19
280,517,1,Cathrine,55,2023-11-16
281,559,1,Ottilie,45,2024-06-03
282,417,1,Larry,40,2024-06-09
283,274,1,Jarred,13,2023-09-26
284,860,1,Gilberto,52,2024-08-24
285,364,1,Kenneth,77,2024-06-28
286,562,1,Anastasia,26,2024-07-18
287,23,1,Gerald,60,2024-06-15
288,403,1,Fernando,32,2024-05-28
289,372,1,Valerie,88,2024-06-17
290,330,1,Neil,57,2024-06-23
291,146,2,Christop,11,2024-07-29
292,98,2,Americo,80,2024-02-28
293,982,2,Felicita,36,2023-10-28
294,242,2,Eulalia,43,2024-08-04
295,95,2,Kacie,6,2024-01-14
296,176,2,Blanca,73,2023-10-22
297,289,2,George,59,2024-01-26
298,690,2,Kenyon,29,2024-03-03
299,774,2,Selena,35,2024-07-21
300,716,2,Selmer,22,2023-12-20
301,871,2,Elfrieda,24,2023-09-18
302,204,2,Maudie,55,2024-05-15
303,837,2,Isai,14,2024-03-11
304,844,2,Karolann,23,2024-02-20
305,796,2,Daija,81,2023-12-16
306,516,2,Norval,81,2023-10-30
307,476,2,Braeden,58,2024-08-20
308,299,2,Horacio,95,2024-04-26
309,292,2,Octavia,28,2023-11-06
310,587,2,Meredith,76,2024-03-04
311,651,2,Freddy,3,2024-07-08
312,399,2,Mariane,75,2023-12-22
313,526,2,Jaclyn,12,2024-02-13
314,696,2,Bell,71,2024-09-11
315,352,2,Alejandra,10,2023-10-28
316,376,2,Ernest,68,2024-01-31
317,968,2,Lina,98,2024-08-23
318,625,2,Cleo,30,2023-11-26
319,612,2,Jaquan,81,2024-06-23
320,214,2,Sherman,27,2024-08-14
321,867,2,Carson,52,2024-06-12
322,549,2,Dillon,41,2024-07-11
323,733,2,Neal,93,2023-12-11
324,599,2,Peter,47,2024-01-09
325,208,2,Lou,33,2023-09-20
326,193,2,Christian,34,2024-02-06
327,395,2,Joanne,41,2024-05-02
328,652,2,Kylee,3,2023-09-20
329,816,2,Della,7,2024-03-14
330,773,2,Rupert,29,2023-11-20
331,643,2,Susanna,80,2024-05-27
332,400,2,Constantin,99,2024-07-09
333,994,2,Caroline,80,2024-03-27
334,350,2,Marisa,2,2023-12-10
335,974,2,Savannah,8,2023-10-10
336,447,2,Buster,99,2024-02-25
337,771,2,Dolly,4,2024-04-22
338,600,2,Maeve,43,2024-06-16
339,148,2,Joelle,98,2024-07-05
340,216,2,Mckenna,98,2023-12-14
341,876,2,Samson,93,2024-02-04
342,974,2,Daisha,19,2024-06-11
343,687,2,Ines,35,2024-04-17
344,215,2,Jasper,52,2023-09-15
345,10,2,Annamae,91,2024-01-12
346,776,2,Brycen,13,2024-01-01
347,849,2,Aniyah,61,2023-09-21
348,199,2,Gladys,68,2024-08-15
349,938,2,Abigayle,57,2023-11-03
350,604,2,Toney,47,2024-04-17
351,127,2,Dion,59,2024-05-18
352,614,2,Michele,7,2024-07-16
353,190,2,Ernestine,12,2024-04-07
354,886,2,Isadore,36,2024-06-29
355,972,2,Alta,47,2024-06-15
356,465,2,Roger,94,2024-08-16
357,277,2,Deron,80,2024-06-25
358,162,2,Abigale,32,2023-10-05
359,1017,2,Allene,97,2024-09-01
360,835,2,Monroe,38,2024-04-16
361,906,2,Vincenzo,65,2024-09-11
362,524,2,Desmond,88,2024-07-27
363,10,2,Romaine,62,2024-03-16
364,583,2,Emery,24,2023-11-22
365,703,2,Ila,65,2024-06-14
366,954,2,Roberta,72,2024-05-02
367,928,2,Precious,25,2023-09-25
368,749,2,Carole,3,2024-05-07
369,412,2,Ivy,63,2023-12-24
370,442,2,Paolo,3,2024-02-03
371,733,2,Annetta,47,2023-12-29
372,844,2,Cristobal,51,2023-11-13
373,381,2,Lucas,55,2024-02-03
374,186,2,Tillman,81,2024-01-18
375,258,2,Derrick,42,2024-08-04
376,556,2,Moriah,84,2023-11-28
377,950,2,Candido,87,2024-01-21
378,869,2,Shaniya,75,2024-06-16
379,250,2,Furman,62,2024-01-06
380,974,2,Violette,37,2023-12-12
381,816,2,Mateo,18,2024-09-13
382,459,2,Shaun,9,2023-12-13
383,766,2,Marlene,60,2024-08-26
384,656,2,Emely,49,2023-12-10
385,106,2,Antonio,16,2024-07-26
386,690,2,Lauriane,6,2024-04-23
387,158,2,Dangelo,79,2023-10-04
388,140,2,Emily,3,2024-04-21
389,962,2,Kenna,92,2024-04-21
390,267,2,Mandy,36,2023-12-30
391,351,2,Roslyn,80,2024-05-18
392,223,2,Misty,78,2024-04-02
393,630,2,Clement,74,2024-02-11
394,646,2,Asa,69,2024-08-01
395,4,2,Laisha,80,2024-01-01
396,521,2,Eino,18,2024-04-17
397,290,2,Elwin,34,2024-06-18
398,388,2,Sage,29,2024-02-16
399,897,2,Nyah,14,2024-06-05
400,515,2,Hunter,52,2024-07-31
401,274,2,Buford,13,2023-12-08
402,19,2,Ellie,90,2024-09-13
403,689,2,Zetta,56,2024-06-29
404,1015,2,Enrico,99,2024-08-05
405,154,2,Jaeden,26,2024-07-10
406,482,2,Derrick,2,2024-06-06
407,995,2,Juston,66,2024-04-16
408,542,2,Kelton,99,2023-12-25
409,17,2,Bud,36,2024-08-03
410,969,2,Marquis,6,2024-01-28
411,498,2,Retha,95,2023-12-02
412,673,2,Laurianne,87,2024-03-12
413,458,2,Cory,65,2024-01-02
414,217,2,Hertha,98,2024-01-08
415,220,2,Angelina,17,2023-10-17
416,901,2,Colton,57,2024-01-20
417,67,2,Kristoffer,100,2024-04-10
418,763,2,Camden,64,2023-12-16
419,510,2,Dariana,37,2024-03-18
420,838,2,Elwyn,90,2023-10-12
421,314,2,Rebecca,33,2023-12-24
422,722,2,Dewitt,23,2024-07-15
423,681,2,Carmel,85,2024-06-09
424,739,2,Shakira,5,2024-08-30
425,431,2,Julia,92,2024-04-18
426,615,2,Bradly,73,2024-05-20
427,545,2,Neoma,5,2024-03-20
428,547,2,Cordell,64,2023-12-02
429,140,2,Kari,29,2023-09-29
430,810,2,Juana,94,2024-08-01
431,561,2,Enrico,96,2024-07-12
432,725,2,Ignatius,40,2024-07-31
433,322,2,General,19,2023-10-22
434,192,2,Aliya,19,2024-04-01
435,562,2,Eladio,66,2023-11-12
436,43,2,Karelle,27,2024-07-31
437,342,2,Leanne,50,2023-12-12
438,280,2,Luther,59,2024-05-24
439,544,2,Yasmeen,43,2024-05-14
440,401,2,Enola,41,2024-06-06
441,434,2,Brice,4,2024-06-27
442,112,2,Kennith,62,2023-09-28
443,349,2,Eileen,47,2024-06-18
444,432,2,Roy,65,2024-08-07
445,503,2,Arthur,2,2024-05-06
446,559,2,Jan,20,2024-05-17
447,829,2,Patrick,24,2024-02-21
448,160,2,Elroy,5,2024-03-09
449,544,2,Libbie,70,2023-11-27
450,126,2,Wallace,72,2024-08-01
451,567,2,Vinnie,14,2024-07-12
452,806,2,Asia,98,2024-07-09
453,406,2,Genesis,70,2024-05-07
454,556,2,Alisha,25,2024-01-20
455,500,2,Royal,79,2023-11-16
456,744,2,Merle,61,2024-09-01
457,922,2,Ayana,84,2023-12-12
458,546,3,Arvilla,63,2023-12-12
459,1011,3,Mathew,58,2024-04-22
460,334,3,Leonora,55,2024-05-03
461,749,3,Albina,9,2024-01-31
462,427,3,Cooper,11,2024-02-05
463,721,3,London,98,2023-11-10
464,1004,3,Prudence,23,2024-05-15
465,86,3,Sydni,49,2023-12-04
466,769,3,Aliya,70,2023-10-19
467,479,3,Cole,29,2024-01-21
468,207,3,Abbie,77,2024-06-02
469,830,3,Adele,37,2024-01-17
470,746,3,Pablo,85,2024-05-29
471,676,3,Thalia,49,2024-07-21
472,563,3,Nathan,8,2024-02-16
473,633,3,Lennie,74,2024-07-02
474,752,3,Burley,23,2024-08-09
475,195,3,Abigale,64,2023-09-24
476,280,3,Shanna,71,2023-10-12
477,187,3,Karolann,36,2024-01-19
478,116,3,Marcus,63,2023-11-28
479,857,3,Marie,33,2024-04-15
480,779,3,Wilburn,54,2023-12-21
481,769,3,Madalyn,27,2024-02-06
482,822,3,Elinore,52,2024-01-09
483,907,3,Myrtice,51,2024-06-26
484,87,3,Kendall,44,2024-05-19
485,115,3,Jerrell,24,2024-01-15
486,989,3,Rose,82,2024-04-09
487,755,3,Domenic,79,2024-03-30
488,582,3,Kelley,30,2024-01-18
489,801,3,Lydia,86,2024-08-12
490,307,3,Tristin,39,2024-02-21
491,138,3,Eliane,65,2023-12-23
492,555,3,Kelley,1,2024-05-09
493,808,3,Bartholome,48,2023-12-21
494,628,3,Ariane,94,2024-03-12
495,835,3,Emerald,74,2024-04-24
496,222,3,Kevon,97,2024-01-03
497,232,3,Raymond,82,2024-09-07
498,936,3,Rowland,62,2024-07-18
499,196,3,Ardella,60,2024-06-01
500,296,3,Dianna,7,2024-07-13
501,541,3,Reta,80,2024-07-19
502,96,3,Deondre,95,2023-11-28
503,601,3,Frieda,7,2023-09-17
504,593,3,Marvin,13,2024-06-20
505,917,3,Kolby,48,2023-09-24
506,975,3,Tianna,22,2024-01-15
507,78,3,Joanie,2,2023-10-26
508,785,3,Stone,46,2023-10-26
509,54,3,Christiana,32,2024-04-17
510,558,3,Kiana,72,2024-08-05
511,100,3,Cesar,21,2023-11-25
512,598,3,Nathanael,78,2024-09-11
513,800,3,Mariela,21,2023-12-16
514,17,3,Selena,66,2023-11-28
515,166,3,Phoebe,69,2024-04-06
516,616,3,Nikki,14,2024-03-11
517,763,3,Geovany,6,2023-11-21
518,696,3,Margarette,75,2023-12-25
519,616,3,Wilma,7,2024-08-04
520,449,3,Hattie,41,2024-02-19
521,618,3,Ivah,46,2023-10-06
522,301,3,Beatrice,52,2023-09-17
523,281,3,Kirsten,64,2024-05-22
524,21,3,Alvena,15,2024-08-15
525,719,3,Milton,9,2023-10-24
526,373,3,Assunta,90,2024-01-07
527,238,3,Murl,50,2023-09-27
528,308,3,Kendall,42,2023-11-28
529,873,3,Dena,3,2023-12-04
530,955,3,Garnet,25,2024-01-27
531,63,3,Gillian,39,2024-07-26
532,403,3,Maia,94,2023-11-17
533,17,3,Bridie,62,2024-08-08
534,568,3,Doyle,97,2024-02-16
535,828,3,Myrna,11,2024-06-17
536,938,3,Rey,31,2024-04-10
537,319,3,Valentina,96,2024-03-11
538,828,3,Linda,78,2024-05-31
539,17,3,Derek,65,2023-12-22
540,185,3,Eveline,83,2023-10-24
541,829,3,Paolo,47,2024-03-26
542,153,3,Lucienne,2,2023-12-07
543,102,3,Patsy,3,2024-07-31
544,113,3,Anibal,7,2024-01-29
545,508,3,Charity,24,2024-09-08
546,478,3,Emiliano,59,2024-07-30
547,392,3,Savanah,34,2023-10-16
548,851,3,Tabitha,20,2024-03-18
549,49,3,Emile,3,2024-05-07
550,488,3,Tianna,70,2024-08-09
551,1007,3,Isabella,6,2024-06-28
552,674,3,Robert,45,2023-11-28
553,784,3,Annalise,41,2024-08-25
554,953,3,Molly,72,2024-01-29
555,14,4,Maxie,71,2023-10-17
556,182,4,Jaime,10,2024-04-24
557,566,4,Garett,76,2024-04-28
558,906,4,Cassandra,25,2024-03-27
559,811,4,Jamar,46,2024-07-25
560,989,4,Darrin,77,2023-12-04
561,670,4,Georgianna,37,2023-09-25
562,1021,4,Jaydon,87,2024-04-18
563,960,4,Dangelo,51,2023-12-24
564,486,4,Frankie,14,2023-11-17
565,198,4,Kailee,21,2023-09-16
566,845,4,Erika,73,2024-01-11
567,680,4,Presley,57,2023-10-20
568,714,4,Walton,56,2024-02-27
569,499,4,Mallory,90,2024-07-08
570,821,4,Kasey,3,2023-12-27
571,1012,4,Ashley,81,2023-10-01
572,178,4,Frederick,70,2023-11-17
573,628,4,Claudine,51,2024-03-10
574,145,4,Barrett,65,2024-07-23
575,1000,4,Narciso,29,2023-10-13
576,56,4,Van,35,2024-08-10
577,914,4,Heber,9,2024-09-09
578,980,4,Paxton,16,2024-06-15
579,722,5,Dock,7,2023-12-06
580,973,5,Rachelle,29,2024-07-05
581,572,5,Jessie,25,2024-04-26
582,439,5,Davon,96,2024-01-22
583,1020,5,Beulah,48,2024-03-31
584,270,5,Chaim,53,2024-02-19
585,674,5,Ward,91,2023-10-31
586,877,5,Elenor,91,2024-03-09
587,411,5,Xzavier,29,2024-04-01
588,654,5,Vinnie,80,2024-02-19
589,193,5,Elisa,13,2023-10-23
590,805,5,Eunice,10,2024-03-06
591,89,5,Delphine,22,2024-06-30
592,401,5,Esther,83,2023-11-25
593,702,5,Theo,41,2024-02-01
594,877,5,Desmond,51,2023-11-14
595,360,5,Julianne,77,2024-04-24
596,983,5,Shakira,41,2024-04-15
597,638,5,Vallie,81,2023-12-30
598,956,5,Dean,35,2024-04-09
599,587,5,Jude,88,2024-03-17
600,108,5,Dashawn,29,2024-05-04
601,860,5,Marcia,84,2024-01-07
602,291,5,Camden,6,2024-01-30
603,734,5,Leilani,27,2023-11-17
604,826,5,Thalia,65,2024-01-31
605,79,5,Amparo,45,2023-09-26
606,165,5,Katheryn,30,2024-03-16
607,666,5,Myrtice,27,2023-11-25
608,618,5,Stewart,10,2023-12-16
609,180,5,Shad,34,2024-03-15
610,885,5,Rusty,23,2024-01-19
611,947,5,Freddie,62,2023-11-08
612,885,5,Forest,69,2023-12-31
613,101,5,Phyllis,26,2024-07-10
614,9,5,Laron,52,2023-12-06
615,898,5,Janelle,84,2024-06-19
616,1003,5,Valentin,37,2024-05-07
617,192,5,Justice,39,2023-09-27
618,391,5,Laurie,52,2023-09-15
619,845,5,Paula,1,2024-03-08
620,614,5,Clotilde,67,2024-01-26
621,245,5,Juston,24,2024-02-29
622,765,5,Birdie,37,2023-12-19
623,636,5,Holden,39,2024-06-07
624,260,5,Loren,13,2024-03-22
625,834,5,Hillary,92,2023-10-09
626,650,5,Iliana,86,2023-10-31
627,61,5,Noel,45,2024-06-24
628,337,5,Carmella,15,2024-02-13
629,449,5,Monique,22,2023-09-18
630,757,5,Paolo,75,2024-01-15
631,581,5,Aliyah,16,2024-03-26
632,630,5,Devan,45,2024-01-28
633,319,5,Arielle,91,2023-12-28
634,23,5,Kyra,66,2024-08-21
635,175,5,Allen,71,2024-07-15
636,113,5,Caitlyn,30,2024-02-28
637,647,5,Vivienne,95,2024-03-20
638,225,5,Eldora,28,2024-08-14
639,339,5,Jose,17,2023-12-31
640,823,5,Justen,72,2024-06-01
641,146,5,Angelina,55,2024-05-30
642,848,5,Consuelo,48,2024-05-14
643,1001,5,Christa,81,2024-03-30
644,475,5,Houston,91,2024-05-05
645,542,5,Magali,44,2024-01-02
646,611,5,Wilson,86,2023-12-13
647,849,5,Magdalena,30,2024-05-06
648,117,5,Matilda,55,2024-03-01
649,3,5,Alvena,55,2024-04-17
650,424,5,Dolly,78,2023-12-02
651,793,5,Jesus,71,2023-12-08
652,644,5,Abelardo,82,2023-10-30
653,694,5,Fiona,9,2024-06-29
654,68,5,Celine,12,2023-11-26
655,400,5,Faye,54,2024-05-14
656,24,5,Isabelle,38,2024-01-22
657,461,5,Bart,98,2023-12-15
658,112,5,Jaleel,40,2024-06-11
659,680,5,Noah,87,2024-05-07
660,820,5,Breanna,100,2024-06-29
661,908,5,Delphia,15,2024-04-06
662,1012,5,Kristoffer,12,2024-07-19
663,649,5,Robert,42,2024-01-20
664,248,5,Nia,75,2024-01-21
665,862,5,Parker,70,2024-02-05
666,638,5,Timmothy,66,2023-10-22
667,636,5,Morris,78,2023-12-22
668,209,5,Rebeka,96,2024-06-30
669,313,5,Sadye,86,2023-12-01
670,108,5,Fritz,38,2024-01-17
671,632,5,Pietro,73,2024-06-04
672,901,5,Emery,7,2024-06-08
673,245,5,Regan,7,2024-08-16
674,990,5,Donavon,56,2024-08-03
675,587,5,Elissa,63,2024-08-21
676,621,5,Tad,82,2023-10-31
677,31,5,Joshua,93,2024-05-03
678,945,5,Donnell,63,2024-02-18
679,8,5,Kurtis,84,2024-04-05
680,35,5,Maddison,65,2024-07-15
681,244,5,Jon,51,2024-01-05
682,568,5,Yesenia,89,2023-09-23
683,4,5,Charley,92,2024-02-08
684,254,5,Tom,59,2023-11-05
685,551,5,Wade,25,2023-10-27
686,273,5,Mazie,1,2024-08-15
687,671,5,Alexandria,25,2024-09-06
688,759,5,Megane,67,2024-04-14
689,392,5,Roosevelt,72,2024-07-17
690,248,5,Evelyn,91,2024-01-14
691,74,5,Nicolas,33,2024-06-11
692,221,5,Estell,12,2024-02-10
693,842,5,Danny,96,2024-03-26
694,241,5,Alvis,23,2023-12-05
695,237,5,Makenna,43,2024-08-03
696,182,5,Shayna,55,2024-06-08
697,673,5,Crystal,98,2024-05-14
698,741,5,Clint,21,2024-02-10
699,540,5,Randy,41,2024-03-16
