id,nom,categorie,prix
390,TM63,Machines,129
391,TM64,Machines,943
392,TM65,Machines,249
393,TM66,Machines,509
394,TM67,Machines,176
395,TM68,Machines,665
396,TM69,Machines,939
397,TM70,Machines,493
398,TM71,Machines,339
399,TM72,Machines,530
400,TM73,Machines,420
401,TM74,Machines,786
402,TM75,Machines,222
403,TM76,Machines,431
404,TM77,Machines,776
405,TM78,Machines,176
406,TM79,Machines,686
407,TM80,Machines,869
408,TM81,Machines,813
409,TM82,Machines,869
410,TM83,Machines,313
411,TM84,Machines,424
412,TM85,Machines,289
413,TM86,Machines,200
414,TM87,Machines,602
415,TM88,Machines,914
416,TM89,Machines,438
417,TM90,Machines,520
418,TM91,Machines,786
419,TM92,Machines,746
420,HM01,Machines,749
421,HM02,Machines,658
422,HM03,Machines,450
423,HM04,Machines,631
424,HM05,Machines,504
425,HM06,Machines,914
428,Explorer Kit,elements cles,493
429,Loot Sack,elements cles,987
430,Rule Book,elements cles,168
431,Poke Radar,elements cles,349
432,Point Card,elements cles,976
433,Journal,elements cles,670
434,Seal Case,elements cles,248
435,Fashion Case,elements cles,995
436,Seal Bag,elements cles,193
437,Pal Pad,elements cles,729
438,Works Key,elements cles,548
439,Old Charm,elements cles,718
440,Galactic Key,elements cles,678
441,Red Chain,elements cles,710
442,Town Map,elements cles,298
443,Vs. Seeker,elements cles,119
444,Coin Case,elements cles,106
445,Old Rod,elements cles,958
446,Good Rod,elements cles,708
447,Super Rod,elements cles,381
448,Sprayduck,elements cles,488
449,Poffin Case,elements cles,967
451,Suite Key,elements cles,949
452,Oak\'s Letter,elements cles,526
453,Lunar Wing,elements cles,254
454,Member Card,elements cles,777
455,Azure Flute,elements cles,823
457,Contest Pass,elements cles,262
458,Magma Stone,elements cles,592
460,Coupon 1,elements cles,776
461,Coupon 2,elements cles,653
462,Coupon 3,elements cles,573
464,Secret Potion,elements cles,689
465,Vs. Recorder,elements cles,529
466,Gracidea,elements cles,360
468,Apricorn Box,elements cles,133
469,Unown Report,elements cles,134
470,Berry Pots,elements cles,159
471,Dowsing Machine,elements cles,311
472,Blue Card,elements cles,947
473,Slowpoke Tail,elements cles,749
474,Clear Bell,elements cles,837
477,Squirt Bottle,elements cles,969
478,Red Scale,elements cles,510
479,Lost Item,elements cles,779
480,Pass,elements cles,426
481,Machine Part,elements cles,230
482,Silver Wing,elements cles,902
483,Rainbow Wing,elements cles,359
484,Mystery Egg,elements cles,769
485,Red Apricorn,Objets generaux,832
486,Blue Apricorn,Objets generaux,932
487,Yellow Apricorn,Objets generaux,865
488,Green Apricorn,Objets generaux,671
489,Pink Apricorn,Objets generaux,454
490,White Apricorn,Objets generaux,250
491,Black Apricorn,Objets generaux,347
492,Fast Ball,Pokeballs,964
493,Level Ball,Pokeballs,317
494,Lure Ball,Pokeballs,149
495,Heavy Ball,Pokeballs,171
496,Love Ball,Pokeballs,591
497,Friend Ball,Pokeballs,387
498,Moon Ball,Pokeballs,717
499,Sport Ball,Pokeballs,355
500,Park Ball,Pokeballs,387
501,Photo Album,elements cles,731
502,GB Sounds,elements cles,642
503,Tidal Bell,elements cles,203
504,Rage Candy Bar,Medecine,890
505,Data Card 01,elements cles,954
506,Data Card 02,elements cles,818
507,Data Card 03,elements cles,814
508,Data Card 04,elements cles,767
509,Data Card 05,elements cles,904
510,Data Card 06,elements cles,715
511,Data Card 07,elements cles,882
512,Data Card 08,elements cles,305
513,Data Card 09,elements cles,302
514,Data Card 10,elements cles,460
515,Data Card 11,elements cles,615
516,Data Card 12,elements cles,507
517,Data Card 13,elements cles,546
518,Data Card 14,elements cles,476
519,Data Card 15,elements cles,110
520,Data Card 16,elements cles,982
521,Data Card 17,elements cles,986
522,Data Card 18,elements cles,691
523,Data Card 19,elements cles,523
524,Data Card 20,elements cles,604
525,Data Card 21,elements cles,987
526,Data Card 22,elements cles,960
527,Data Card 23,elements cles,172
528,Data Card 24,elements cles,514
529,Data Card 25,elements cles,392
530,Data Card 26,elements cles,819
531,Data Card 27,elements cles,465
532,Jade Orb,elements cles,850
533,Lock Capsule,elements cles,663
534,Red Orb,elements cles,808
535,Blue Orb,elements cles,362
536,Enigma Stone,elements cles,652
538,Eviolite,Objets tenus,841
539,Float Stone,Objets tenus,642
540,Rocky Helmet,Objets tenus,846
541,Air Balloon,Objets tenus,767
542,Red Card,Objets tenus,732
543,Ring Target,Objets tenus,383
544,Binding Band,Objets tenus,622
545,Absorb Bulb,Objets tenus,494
546,Cell Battery,Objets tenus,508
547,Eject Button,Objets tenus,363
548,Fire Gem,Objets tenus,439
549,Water Gem,Objets tenus,654
550,Electric Gem,Objets tenus,515
551,Grass Gem,Objets tenus,954
552,Ice Gem,Objets tenus,108
553,Fighting Gem,Objets tenus,592
554,Poison Gem,Objets tenus,647
555,Ground Gem,Objets tenus,615
556,Flying Gem,Objets tenus,526
557,Psychic Gem,Objets tenus,908
559,Rock Gem,Objets tenus,780
560,Ghost Gem,Objets tenus,620
561,Dragon Gem,Objets tenus,917
562,Dark Gem,Objets tenus,191
563,Steel Gem,Objets tenus,114
564,Normal Gem,Objets tenus,503
572,Cover Fossil,Objets generaux,947
573,Plume Fossil,Objets generaux,472
574,Liberty Pass,elements cles,733
575,Pass Orb,Objets tenus,678
576,Dream Ball,Pokeballs,958
577,Poke Toy,Objets generaux,799
578,Prop Case,elements cles,460
579,Dragon Skull,elements cles,693
580,Balm Mushroom,Objets generaux,471
581,Big Nugget,Objets generaux,537
582,Pearl String,Objets generaux,349
583,Comet Shard,Objets generaux,409
584,Relic Copper,Objets generaux,529
585,Relic Silver,Objets generaux,139
586,Relic Gold,Objets generaux,266
587,Relic Vase,Objets generaux,201
588,Relic Band,Objets generaux,687
589,Relic Statue,Objets generaux,428
590,Relic Crown,Objets generaux,805
591,Casteliacone,Medecine,828
592,Dire Hit 2,Items de combats,379
593,X Speed 2,Items de combats,583
594,X Sp. Atk 2,Items de combats,148
595,X Sp. Def 2,Items de combats,207
596,X Defense 2,Items de combats,548
597,X Attack 2,Items de combats,846
598,X Accuracy 2,Items de combats,796
599,X Speed 3,Items de combats,584
600,X Sp. Atk 3,Items de combats,257
601,X Sp. Def 3,Items de combats,127
602,X Defense 3,Items de combats,412
603,X Attack 3,Items de combats,866
604,X Accuracy 3,Items de combats,478
605,X Speed 6,Items de combats,980
607,X Sp. Def 6,Items de combats,251
608,X Defense 6,Items de combats,511
609,X Attack 6,Items de combats,498
610,X Accuracy 6,Items de combats,561
611,Ability Urge,Items de combats,912
612,Item Drop,Items de combats,775
613,Item Urge,Items de combats,382
614,Reset Urge,Items de combats,192
615,Dire Hit 3,Items de combats,903
616,Light Stone,elements cles,106
617,Dark Stone,elements cles,188
618,TM93,Machines,188
619,TM94,Machines,903
620,TM95,Machines,755
623,Gram 1,elements cles,953
624,Gram 2,elements cles,581
625,Gram 3,elements cles,146
626,Xtransceiver,elements cles,272
627,Medal Box,elements cles,722
629,DNA Splicers,Objets generaux,345
630,Permit,Objets generaux,602
631,Oval Charm,Objets generaux,599
632,Shiny Charm,Objets generaux,363
633,Plasma Card,Objets tenus,684
634,Grubby Hanky,Objets tenus,603
635,Colress Machine,Objets tenus,192
637,Dropped Item,Objets tenus,623
638,Reveal Glass,Objets generaux,617
639,Weakness Policy,Objets tenus,190
640,Assault Vest,Objets tenus,835
642,Prof\'s Letter,Objets tenus,743
643,Roller Skates,Objets generaux,164
644,Pixie Plate,Objets tenus,200
645,Ability Capsule,Objets tenus,482
646,Whipped Dream,Objets generaux,472
647,Sachet,Objets generaux,359
648,Luminous Moss,Objets tenus,485
649,Snowball,Objets tenus,668
650,Safety Goggles,Objets tenus,322
651,Poke Flute,elements cles,791
652,Rich Mulch,elements cles,200
653,Surprise Mulch,elements cles,717
654,Boost Mulch,elements cles,878
655,Amaze Mulch,elements cles,574
656,Gengarite,Objets tenus,341
657,Gardevoirite,Objets tenus,292
658,Ampharosite,Objets tenus,440
659,Venusaurite,Objets tenus,274
660,Charizardite X,Objets tenus,632
661,Blastoisinite,Objets tenus,922
662,Mewtwonite X,Objets tenus,732
663,Mewtwonite Y,Objets tenus,819
664,Blazikenite,Objets tenus,714
665,Medichamite,Objets tenus,485
666,Houndoominite,Objets tenus,560
667,Aggronite,Objets tenus,250
668,Banettite,Objets tenus,264
669,Tyranitarite,Objets tenus,207
670,Scizorite,Objets tenus,404
671,Pinsirite,Objets tenus,244
672,Aerodactylite,Objets tenus,757
673,Lucarionite,Objets tenus,748
674,Abomasite,Objets tenus,273
675,Kangaskhanite,Objets tenus,956
676,Gyaradosite,Objets tenus,400
677,Absolite,Objets tenus,239
678,Charizardite Y,Objets tenus,917
679,Alakazite,Objets tenus,398
680,Heracronite,Objets tenus,521
681,Mawilite,Objets tenus,412
682,Manectite,Objets tenus,163
683,Garchompite,Objets tenus,428
684,Latiasite,Objets tenus,350
685,Latiosite,Objets tenus,363
686,Roseli Berry,Baies,912
687,Kee Berry,Baies,994
688,Maranga Berry,Baies,113
689,Sprinklotad,Objets generaux,834
690,TM96,Machines,407
691,TM97,Machines,946
692,TM98,Machines,593
693,TM99,Machines,421
694,TM100,Machines,457
695,Power Plant Pass,Objets tenus,288
696,Mega Ring,elements cles,226
697,Intriguing Stone,Objets tenus,581
699,Discount Coupon,Objets generaux,187
700,Elevator Key,Objets tenus,443
701,TMV Pass,Objets generaux,621
704,Strange Souvenir,Objets generaux,790
705,Lens Case,elements cles,325
706,Makeup Bag,elements cles,809
708,Lumiose Galette,Medecine,826
709,Shalour Sable,Medecine,707
712,Looker Ticket,Objets tenus,667
713,Bike,elements cles,916
714,Holo Caster,elements cles,382
715,Fairy Gem,Objets generaux,490
718,Mach Bike,elements cles,139
719,Acro Bike,elements cles,921
720,Wailmer Pail,elements cles,655
721,Devon Parts,elements cles,935
722,Soot Sack,elements cles,559
723,Basement Key,elements cles,224
724,Pokeblock Kit,elements cles,120
725,Letter,elements cles,476
726,Eon Ticket,elements cles,927
727,Scanner,elements cles,617
728,Go-Goggles,elements cles,323
730,Key to Room 1,elements cles,262
731,Key to Room 2,elements cles,736
732,Key to Room 4,elements cles,346
733,Key to Room 6,elements cles,451
734,Storage Key,elements cles,926
735,Devon Scope,elements cles,197
737,HM07,Machines,460
738,Devon Scuba Gear,elements cles,747
740,Contest Costume,elements cles,783
741,Magma Suit,elements cles,746
742,Aqua Suit,elements cles,159
743,Pair of Tickets,elements cles,463
744,Mega Bracelet,elements cles,848
752,Swampertite,Objets tenus,469
753,Sceptilite,Objets tenus,982
754,Sablenite,Objets tenus,443
755,Altarianite,Objets tenus,378
756,Galladite,Objets tenus,223
757,Audinite,Objets tenus,245
758,Metagrossite,Objets tenus,119
759,Sharpedonite,Objets tenus,333
760,Slowbronite,Objets tenus,873
761,Steelixite,Objets tenus,313
762,Pidgeotite,Objets tenus,373
763,Glalitite,Objets tenus,722
764,Diancite,Objets tenus,805
765,Prison Bottle,Objets tenus,316
767,Cameruptite,Objets tenus,111
768,Lopunnite,Objets tenus,193
769,Salamencite,Objets tenus,381
770,Beedrillite,Objets tenus,139
772,Meteorite,elements cles,862
773,Key Stone,elements cles,876
774,Meteorite Shard,elements cles,156
775,Eon Flute,elements cles,762
795,Bottle Cap,Objets generaux,761
796,Gold Bottle Cap,Objets generaux,891
797,Z-Ring,elements cles,116
807,Normalium Z,Objets tenus,607
808,Firium Z,Objets tenus,795
809,Waterium Z,Objets tenus,946
810,Electrium Z,Objets tenus,377
811,Grassium Z,Objets tenus,958
812,Icium Z,Objets tenus,164
813,Fightinium Z,Objets tenus,882
814,Poisonium Z,Objets tenus,521
815,Groundium Z,Objets tenus,958
816,Flyinium Z,Objets tenus,745
817,Psychium Z,Objets tenus,386
818,Buginium Z,Objets tenus,502
819,Rockium Z,Objets tenus,734
820,Ghostium Z,Objets tenus,239
821,Dragonium Z,Objets tenus,442
822,Darkinium Z,Objets tenus,572
823,Steelium Z,Objets tenus,851
824,Fairium Z,Objets tenus,166
825,Pikanium Z,Objets tenus,541
826,Decidium Z,Objets tenus,454
827,Incinium Z,Objets tenus,305
828,Primarium Z,Objets tenus,336
829,Tapunium Z,Objets tenus,573
830,Marshadium Z,Objets tenus,767
831,Aloraichium Z,Objets tenus,243
832,Snorlium Z,Objets tenus,790
833,Eevium Z,Objets tenus,182
834,Mewnium Z,Objets tenus,690
836,Pikashunium Z,Objets tenus,652
841,Forage Bag,elements cles,276
843,Professor\'s Mask,elements cles,596
844,Festival Ticket,Objets generaux,883
845,Sparkling Stone,elements cles,861
846,Adrenaline Orb,Objets tenus,131
847,Zygarde Cube,elements cles,499
849,Ice Stone,Objets generaux,684
850,Ride Pager,elements cles,478
851,Beast Ball,Pokeballs,645
852,Big Malasada,Medecine,952
853,Red Nectar,Objets tenus,911
854,Yellow Nectar,Objets tenus,352
855,Pink Nectar,Objets tenus,500
856,Purple Nectar,Objets tenus,908
857,Sun Flute,elements cles,135
858,Moon Flute,elements cles,479
860,Enigmatic Card,elements cles,396
872,Secret Key,elements cles,246
873,S.S. Ticket,elements cles,297
875,Parcel,elements cles,559
876,Card Key,elements cles,753
879,Terrain Extender,Objets tenus,133
880,Protective Pads,Objets tenus,113
881,Electric Seed,Objets tenus,1000
882,Psychic Seed,Objets tenus,756
883,Misty Seed,Objets tenus,943
884,Grassy Seed,Objets tenus,203
904,Fighting Memory,Objets tenus,317
905,Flying Memory,Objets tenus,128
906,Poison Memory,Objets tenus,173
907,Ground Memory,Objets tenus,367
908,Rock Memory,Objets tenus,870
909,Bug Memory,Objets tenus,662
910,Ghost Memory,Objets tenus,388
911,Steel Memory,Objets tenus,869
912,Fire Memory,Objets tenus,862
913,Water Memory,Objets tenus,601
914,Grass Memory,Objets tenus,698
915,Electric Memory,Objets tenus,639
916,Psychic Memory,Objets tenus,223
917,Ice Memory,Objets tenus,158
918,Dragon Memory,Objets tenus,951
919,Dark Memory,Objets tenus,506
920,Fairy Memory,Objets tenus,816
927,Solganium Z,Objets tenus,885
928,Lunalium Z,Objets tenus,888
929,Ultranecrozium Z,Objets tenus,219
930,Mimikium Z,Objets tenus,136
931,Lycanium Z,Objets tenus,689
932,Kommonium Z,Objets tenus,796
934,Pink Petal,elements cles,334
935,Orange Petal,elements cles,985
936,Blue Petal,elements cles,164
937,Red Petal,elements cles,884
938,Green Petal,elements cles,588
939,Yellow Petal,elements cles,194
940,Purple Petal,elements cles,519
941,Rainbow Flower,elements cles,179
942,Surge Badge,elements cles,558
945,N-Solarizer,elements cles,548
946,N-Lunarizer,elements cles,952
948,Left Poke Ball,elements cles,280
949,Roto Hatch,Items de combats,109
950,Roto Bargain,Items de combats,811
951,Roto Prize Money,Items de combats,140
952,Roto Exp. Points,Items de combats,221
953,Roto Friendship,Items de combats,895
954,Roto Encounter,Items de combats,572
955,Roto Stealth,Items de combats,345
956,Roto HP Restore,Items de combats,899
957,Roto PP Restore,Items de combats,373
958,Roto Boost,Items de combats,503
959,Roto Catch,Items de combats,649
960,Health Candy,Medecine,167
961,Mighty Candy,Medecine,300
962,Tough Candy,Medecine,681
963,Smart Candy,Medecine,111
964,Courage Candy,Medecine,351
965,Quick Candy,Medecine,508
966,Health Candy L,Medecine,875
967,Mighty Candy L,Medecine,359
968,Tough Candy L,Medecine,391
969,Smart Candy L,Medecine,367
970,Courage Candy L,Medecine,762
971,Quick Candy L,Medecine,890
972,Health Candy XL,Medecine,312
973,Mighty Candy XL,Medecine,105
974,Tough Candy XL,Medecine,752
975,Smart Candy XL,Medecine,312
976,Courage Candy XL,Medecine,326
977,Quick Candy XL,Medecine,896
1075,Pokemon Box Link,elements cles,114
1076,Wishing Star,elements cles,960
1077,Dynamax Band,elements cles,683
1080,Fishing Rod,elements cles,306
1084,Sausages,Objets generaux,474
1085,Bob\'s Food Tin,Objets generaux,890
1086,Bach\'s Food Tin,Objets generaux,309
1087,Tin of Beans,Objets generaux,195
1088,Bread,Objets generaux,213
1089,Pasta,Objets generaux,605
1090,Mixed Mushrooms,Objets generaux,534
1091,Smoke-Poke Tail,Objets generaux,517
1092,Large Leek,Objets generaux,180
1093,Fancy Apple,Objets generaux,869
1094,Brittle Bones,Objets generaux,116
1095,Pack of Potatoes,Objets generaux,194
1096,Pungent Root,Objets generaux,337
