pokedex_id,type
152,Plante
153,Plante
154,Plante
155,Feu
156,Feu
157,Feu
158,Eau
159,Eau
160,Eau
161,Normal
162,Normal
163,Normal
163,Vol
164,Normal
164,Vol
165,Insecte
165,Vol
166,Insecte
166,Vol
167,Insecte
167,Poison
168,Insecte
168,Poison
169,Poison
169,Vol
170,Eau
170,electrik
171,Eau
171,electrik
172,electrik
173,Fee
174,Normal
174,Fee
175,Fee
176,Fee
176,Vol
177,Psy
177,Vol
178,Psy
178,Vol
179,electrik
180,electrik
181,electrik
182,Plante
183,Eau
183,Fee
184,Eau
184,Fee
185,Roche
186,Eau
187,Plante
187,Vol
188,Plante
188,Vol
189,Plante
189,Vol
190,Normal
191,Plante
192,Plante
193,Insecte
193,Vol
194,Eau
194,Sol
195,Eau
195,Sol
196,Psy
197,Tenebres
198,Tenebres
198,Vol
199,Eau
199,Psy
200,Spectre
201,Psy
202,Psy
203,Normal
203,Psy
204,Insecte
205,Insecte
205,Acier
206,Normal
207,Sol
207,Vol
208,Acier
208,Sol
209,Fee
210,Fee
211,Eau
211,Poison
212,Insecte
212,Acier
213,Insecte
213,Roche
214,Insecte
214,Combat
215,Tenebres
215,Glace
216,Normal
217,Normal
218,Feu
219,Feu
219,Roche
220,Glace
220,Sol
221,Glace
221,Sol
222,Eau
222,Roche
223,Eau
224,Eau
225,Glace
225,Vol
226,Eau
226,Vol
227,Acier
227,Vol
228,Tenebres
228,Feu
229,Tenebres
229,Feu
230,Eau
230,Dragon
231,Sol
232,Sol
233,Normal
234,Normal
235,Normal
236,Combat
237,Combat
238,Glace
238,Psy
239,electrik
240,Feu
241,Normal
242,Normal
243,electrik
244,Feu
245,Eau
246,Roche
246,Sol
247,Roche
247,Sol
248,Roche
248,Tenebres
249,Psy
249,Vol
250,Feu
250,Vol
251,Psy
251,Plante
252,Plante
253,Plante
254,Plante
255,Feu
256,Feu
256,Combat
257,Feu
257,Combat
258,Eau
259,Eau
259,Sol
260,Eau
260,Sol
261,Tenebres
262,Tenebres
263,Normal
264,Normal
265,Insecte
266,Insecte
267,Insecte
267,Vol
268,Insecte
269,Insecte
269,Poison
270,Eau
270,Plante
271,Eau
271,Plante
272,Eau
272,Plante
273,Plante
274,Plante
274,Tenebres
275,Plante
275,Tenebres
276,Normal
276,Vol
277,Normal
277,Vol
278,Eau
278,Vol
279,Eau
279,Vol
280,Psy
280,Fee
281,Psy
281,Fee
282,Psy
282,Fee
283,Insecte
283,Eau
284,Insecte
284,Vol
285,Plante
286,Plante
286,Combat
287,Normal
288,Normal
289,Normal
290,Insecte
290,Sol
291,Insecte
291,Vol
292,Insecte
292,Spectre
293,Normal
294,Normal
295,Normal
296,Combat
297,Combat
298,Normal
298,Fee
299,Roche
300,Normal
301,Normal
302,Tenebres
302,Spectre
303,Acier
303,Fee
304,Acier
304,Roche
305,Acier
305,Roche
306,Acier
306,Roche
307,Combat
307,Psy
308,Combat
308,Psy
309,electrik
310,electrik
311,electrik
312,electrik
313,Insecte
314,Insecte
315,Plante
315,Poison
316,Poison
317,Poison
318,Eau
318,Tenebres
319,Eau
319,Tenebres
320,Eau
321,Eau
322,Feu
322,Sol
323,Feu
323,Sol
324,Feu
325,Psy
326,Psy
327,Normal
328,Sol
329,Sol
329,Dragon
330,Sol
330,Dragon
331,Plante
332,Plante
332,Tenebres
333,Normal
333,Vol
334,Dragon
334,Vol
335,Normal
336,Poison
337,Roche
337,Psy
338,Roche
338,Psy
339,Eau
339,Sol
340,Eau
340,Sol
341,Eau
342,Eau
342,Tenebres
343,Sol
343,Psy
344,Sol
344,Psy
345,Roche
345,Plante
346,Roche
346,Plante
347,Roche
347,Insecte
348,Roche
348,Insecte
349,Eau
350,Eau
351,Normal
352,Normal
353,Spectre
354,Spectre
355,Spectre
356,Spectre
357,Plante
357,Vol
358,Psy
359,Tenebres
360,Psy
361,Glace
362,Glace
363,Glace
363,Eau
364,Glace
364,Eau
365,Glace
365,Eau
366,Eau
367,Eau
368,Eau
369,Eau
369,Roche
370,Eau
371,Dragon
372,Dragon
373,Dragon
373,Vol
374,Acier
374,Psy
375,Acier
375,Psy
376,Acier
376,Psy
377,Roche
378,Glace
379,Acier
380,Dragon
380,Psy
381,Dragon
381,Psy
382,Eau
383,Sol
384,Dragon
384,Vol
385,Acier
385,Psy
386,Psy
387,Plante
388,Plante
389,Plante
389,Sol
390,Feu
391,Feu
391,Combat
392,Feu
392,Combat
393,Eau
394,Eau
395,Eau
395,Acier
396,Normal
396,Vol
397,Normal
397,Vol
398,Normal
398,Vol
399,Normal
400,Normal
400,Eau
401,Insecte
402,Insecte
403,electrik
404,electrik
405,electrik
406,Plante
406,Poison
407,Plante
407,Poison
408,Roche
409,Roche
410,Roche
410,Acier
411,Roche
411,Acier
412,Insecte
413,Insecte
413,Plante
414,Insecte
414,Vol
415,Insecte
415,Vol
416,Insecte
416,Vol
417,electrik
418,Eau
419,Eau
420,Plante
421,Plante
422,Eau
423,Eau
423,Sol
424,Normal
425,Spectre
425,Vol
426,Spectre
426,Vol
427,Normal
428,Normal
429,Spectre
430,Tenebres
430,Vol
431,Normal
432,Normal
433,Psy
434,Poison
434,Tenebres
435,Poison
435,Tenebres
436,Acier
436,Psy
437,Acier
437,Psy
438,Roche
439,Psy
439,Fee
440,Normal
441,Normal
441,Vol
442,Spectre
442,Tenebres
443,Dragon
443,Sol
444,Dragon
444,Sol
445,Dragon
445,Sol
446,Normal
447,Combat
448,Combat
448,Acier
449,Sol
450,Sol
451,Poison
451,Insecte
452,Poison
452,Tenebres
453,Poison
453,Combat
454,Poison
454,Combat
455,Plante
456,Eau
457,Eau
458,Eau
458,Vol
459,Plante
459,Glace
460,Plante
460,Glace
461,Tenebres
461,Glace
462,electrik
462,Acier
463,Normal
464,Sol
464,Roche
465,Plante
466,electrik
467,Feu
468,Fee
468,Vol
469,Insecte
469,Vol
470,Plante
471,Glace
472,Sol
472,Vol
473,Glace
473,Sol
474,Normal
475,Psy
475,Combat
476,Roche
476,Acier
477,Spectre
478,Glace
478,Spectre
479,electrik
479,Spectre
480,Psy
481,Psy
482,Psy
483,Acier
483,Dragon
484,Eau
484,Dragon
485,Feu
485,Acier
486,Normal
487,Spectre
487,Dragon
488,Psy
489,Eau
490,Eau
491,Tenebres
492,Plante
493,Normal
494,Psy
494,Feu
495,Plante
496,Plante
497,Plante
498,Feu
499,Feu
499,Combat
500,Feu
500,Combat
501,Eau
502,Eau
503,Eau
504,Normal
505,Normal
506,Normal
507,Normal
508,Normal
509,Tenebres
510,Tenebres
511,Plante
512,Plante
513,Feu
514,Feu
515,Eau
516,Eau
517,Psy
518,Psy
519,Normal
519,Vol
520,Normal
520,Vol
521,Normal
521,Vol
522,electrik
523,electrik
524,Roche
525,Roche
526,Roche
527,Psy
527,Vol
528,Psy
528,Vol
529,Sol
530,Sol
530,Acier
531,Normal
532,Combat
533,Combat
534,Combat
535,Eau
536,Eau
536,Sol
537,Eau
537,Sol
538,Combat
539,Combat
540,Insecte
540,Plante
541,Insecte
541,Plante
542,Insecte
542,Plante
543,Insecte
543,Poison
544,Insecte
544,Poison
545,Insecte
545,Poison
546,Plante
546,Fee
547,Plante
547,Fee
548,Plante
549,Plante
550,Eau
551,Sol
551,Tenebres
552,Sol
552,Tenebres
553,Sol
553,Tenebres
554,Feu
555,Feu
556,Plante
557,Insecte
557,Roche
558,Insecte
558,Roche
559,Tenebres
559,Combat
560,Tenebres
560,Combat
561,Psy
561,Vol
562,Spectre
563,Spectre
564,Eau
564,Roche
565,Eau
565,Roche
566,Roche
566,Vol
567,Roche
567,Vol
568,Poison
569,Poison
570,Tenebres
571,Tenebres
572,Normal
573,Normal
574,Psy
575,Psy
576,Psy
577,Psy
578,Psy
579,Psy
580,Eau
580,Vol
581,Eau
581,Vol
582,Glace
583,Glace
584,Glace
585,Normal
585,Plante
586,Normal
586,Plante
587,electrik
587,Vol
588,Insecte
589,Insecte
589,Acier
590,Plante
590,Poison
591,Plante
591,Poison
592,Eau
592,Spectre
593,Eau
593,Spectre
594,Eau
595,Insecte
595,electrik
596,Insecte
596,electrik
597,Plante
597,Acier
598,Plante
598,Acier
599,Acier
600,Acier
601,Acier
602,electrik
603,electrik
604,electrik
605,Psy
606,Psy
607,Spectre
607,Feu
608,Spectre
608,Feu
609,Spectre
609,Feu
610,Dragon
611,Dragon
612,Dragon
613,Glace
614,Glace
615,Glace
616,Insecte
617,Insecte
618,Sol
618,electrik
619,Combat
620,Combat
621,Dragon
622,Sol
622,Spectre
623,Sol
623,Spectre
624,Tenebres
624,Acier
625,Tenebres
625,Acier
626,Normal
627,Normal
627,Vol
628,Normal
628,Vol
629,Tenebres
629,Vol
630,Tenebres
630,Vol
631,Feu
632,Insecte
632,Acier
633,Tenebres
633,Dragon
634,Tenebres
634,Dragon
635,Tenebres
635,Dragon
636,Insecte
636,Feu
637,Insecte
637,Feu
638,Acier
638,Combat
639,Roche
639,Combat
640,Plante
640,Combat
641,Vol
642,electrik
642,Vol
643,Dragon
643,Feu
644,Dragon
644,electrik
645,Sol
645,Vol
646,Dragon
646,Glace
647,Eau
647,Combat
648,Normal
648,Psy
649,Insecte
649,Acier
650,Plante
651,Plante
652,Plante
652,Combat
653,Feu
654,Feu
655,Feu
655,Psy
656,Eau
657,Eau
658,Eau
658,Tenebres
659,Normal
660,Normal
660,Sol
661,Normal
661,Vol
662,Feu
662,Vol
663,Feu
663,Vol
664,Insecte
665,Insecte
666,Insecte
666,Vol
667,Feu
667,Normal
668,Feu
668,Normal
669,Fee
670,Fee
671,Fee
672,Plante
673,Plante
674,Combat
675,Combat
675,Tenebres
676,Normal
677,Psy
678,Psy
679,Acier
679,Spectre
680,Acier
680,Spectre
681,Acier
681,Spectre
682,Fee
683,Fee
684,Fee
685,Fee
686,Tenebres
686,Psy
687,Tenebres
687,Psy
688,Roche
688,Eau
689,Roche
689,Eau
690,Poison
690,Eau
691,Poison
691,Dragon
692,Eau
693,Eau
694,electrik
694,Normal
695,electrik
695,Normal
696,Roche
696,Dragon
697,Roche
697,Dragon
698,Roche
698,Glace
699,Roche
699,Glace
700,Fee
701,Combat
701,Vol
702,electrik
702,Fee
703,Roche
703,Fee
704,Dragon
705,Dragon
706,Dragon
707,Acier
707,Fee
708,Spectre
708,Plante
709,Spectre
709,Plante
710,Spectre
710,Plante
711,Spectre
711,Plante
712,Glace
713,Glace
714,Vol
714,Dragon
715,Vol
715,Dragon
716,Fee
717,Tenebres
717,Vol
718,Dragon
718,Sol
719,Roche
719,Fee
720,Psy
720,Spectre
721,Feu
721,Eau
722,Plante
722,Vol
723,Plante
723,Vol
724,Plante
724,Spectre
725,Feu
726,Feu
727,Feu
727,Tenebres
728,Eau
729,Eau
730,Eau
730,Fee
731,Normal
731,Vol
732,Normal
732,Vol
733,Normal
733,Vol
734,Normal
735,Normal
736,Insecte
737,Insecte
737,electrik
738,Insecte
738,electrik
739,Combat
740,Combat
740,Glace
741,Psy
741,Vol
742,Insecte
742,Fee
743,Insecte
743,Fee
744,Roche
745,Roche
746,Eau
747,Poison
747,Eau
748,Poison
748,Eau
749,Sol
750,Sol
751,Eau
751,Insecte
752,Eau
752,Insecte
753,Plante
754,Plante
755,Plante
755,Fee
756,Plante
756,Fee
757,Poison
757,Feu
758,Poison
758,Feu
759,Normal
759,Combat
760,Normal
760,Combat
761,Plante
762,Plante
763,Plante
764,Fee
765,Normal
765,Psy
766,Combat
767,Insecte
767,Eau
768,Insecte
768,Eau
769,Spectre
769,Sol
770,Spectre
770,Sol
771,Eau
772,Normal
773,Normal
774,Roche
774,Vol
775,Normal
776,Feu
776,Dragon
777,electrik
777,Acier
778,Spectre
778,Fee
779,Eau
779,Psy
780,Normal
780,Dragon
781,Spectre
781,Plante
782,Dragon
783,Dragon
783,Combat
784,Dragon
784,Combat
785,electrik
785,Fee
786,Psy
786,Fee
787,Plante
787,Fee
788,Eau
788,Fee
789,Psy
790,Psy
791,Psy
791,Acier
792,Psy
792,Spectre
793,Roche
793,Poison
794,Insecte
794,Combat
795,Insecte
795,Combat
796,electrik
797,Acier
797,Vol
798,Plante
798,Acier
799,Tenebres
799,Dragon
800,Psy
801,Acier
801,Fee
802,Combat
802,Spectre
803,Poison
804,Poison
804,Dragon
805,Roche
805,Acier
806,Feu
806,Spectre
807,electrik
808,Acier
809,Acier
810,Plante
811,Plante
812,Plante
813,Feu
814,Feu
815,Feu
816,Eau
817,Eau
818,Eau
819,Normal
820,Normal
821,Vol
822,Vol
823,Vol
823,Acier
824,Insecte
825,Insecte
825,Psy
826,Insecte
826,Psy
827,Tenebres
828,Tenebres
829,Plante
830,Plante
831,Normal
832,Normal
833,Eau
834,Eau
834,Roche
835,electrik
836,electrik
837,Roche
838,Roche
838,Feu
839,Roche
839,Feu
840,Plante
840,Dragon
841,Plante
841,Dragon
842,Plante
842,Dragon
843,Sol
844,Sol
845,Vol
845,Eau
846,Eau
847,Eau
848,electrik
848,Poison
849,electrik
849,Poison
850,Feu
850,Insecte
851,Feu
851,Insecte
852,Combat
853,Combat
854,Spectre
855,Spectre
856,Psy
857,Psy
858,Psy
858,Fee
859,Tenebres
859,Fee
860,Tenebres
860,Fee
861,Tenebres
861,Fee
862,Tenebres
862,Normal
863,Acier
864,Spectre
865,Combat
866,Glace
866,Psy
867,Sol
867,Spectre
868,Fee
869,Fee
870,Combat
871,electrik
872,Glace
872,Insecte
873,Glace
873,Insecte
874,Roche
875,Glace
876,Psy
876,Normal
877,electrik
877,Tenebres
878,Acier
879,Acier
880,electrik
880,Dragon
881,electrik
881,Glace
882,Eau
882,Dragon
883,Eau
883,Glace
884,Acier
884,Dragon
885,Dragon
885,Spectre
886,Dragon
886,Spectre
887,Dragon
887,Spectre
888,Fee
889,Combat
890,Poison
890,Dragon
891,Combat
892,Combat
892,Tenebres
893,Tenebres
894,electrik
895,Dragon
896,Glace
897,Spectre
898,Psy
898,Plante
899,Normal
899,Psy
900,Insecte
900,Roche
901,Sol
901,Normal
902,Eau
902,Spectre
903,Combat
903,Poison
904,Tenebres
904,Poison
905,Fee
905,Vol
906,Plante
907,Plante
908,Plante
908,Tenebres
909,Feu
910,Feu
911,Feu
911,Spectre
912,Eau
913,Eau
914,Eau
914,Combat
915,Normal
916,Normal
917,Insecte
918,Insecte
919,Insecte
920,Insecte
920,Tenebres
921,electrik
922,electrik
922,Combat
923,electrik
923,Combat
924,Normal
925,Normal
926,Fee
927,Fee
928,Plante
928,Normal
929,Plante
929,Normal
930,Plante
930,Normal
931,Normal
931,Vol
932,Roche
933,Roche
934,Roche
935,Feu
936,Feu
936,Psy
937,Feu
937,Spectre
938,electrik
939,electrik
940,electrik
940,Vol
941,electrik
941,Vol
942,Tenebres
943,Tenebres
944,Poison
944,Normal
945,Poison
945,Normal
946,Plante
946,Spectre
947,Plante
947,Spectre
948,Sol
948,Plante
949,Sol
949,Plante
950,Roche
951,Plante
952,Plante
952,Feu
953,Insecte
954,Insecte
954,Psy
955,Psy
956,Psy
957,Fee
957,Acier
958,Fee
958,Acier
959,Fee
959,Acier
960,Eau
961,Eau
962,Vol
962,Tenebres
963,Eau
964,Eau
965,Acier
965,Poison
966,Acier
966,Poison
967,Dragon
967,Normal
968,Acier
969,Roche
969,Poison
970,Roche
970,Poison
971,Spectre
972,Spectre
973,Vol
973,Combat
974,Glace
975,Glace
976,Eau
976,Psy
977,Eau
978,Dragon
978,Eau
979,Combat
979,Spectre
980,Poison
980,Sol
981,Normal
981,Psy
982,Normal
983,Tenebres
983,Acier
984,Sol
984,Combat
985,Fee
985,Psy
986,Plante
986,Tenebres
987,Spectre
987,Fee
988,Insecte
988,Combat
989,electrik
989,Sol
990,Sol
990,Acier
991,Glace
991,Eau
992,Combat
992,electrik
993,Tenebres
993,Vol
994,Feu
994,Poison
995,Roche
995,electrik
996,Dragon
996,Glace
997,Dragon
997,Glace
998,Dragon
998,Glace
999,Spectre
1000,Acier
1000,Spectre
1001,Tenebres
1001,Plante
1002,Tenebres
1002,Glace
1003,Tenebres
1003,Sol
1004,Tenebres
1004,Feu
1005,Dragon
1005,Tenebres
1006,Fee
1006,Combat
1007,Combat
1007,Dragon
1008,electrik
1008,Dragon
1009,Eau
1009,Dragon
1010,Plante
1010,Psy
1011,Plante
1011,Dragon
1012,Plante
1012,Spectre
1013,Plante
1013,Spectre
1014,Poison
1014,Combat
1015,Poison
1015,Psy
1016,Poison
1016,Fee
1017,Plante
1018,Acier
1018,Dragon
1019,Plante
1019,Dragon
1020,Feu
1020,Dragon
1021,electrik
1021,Dragon
1022,Roche
1022,Psy
1023,Acier
1023,Psy
1024,Normal
1025,Poison
1025,Spectre
